market_ticker,market_type,game_id,away_team,home_team,first_snapshot_time,last_snapshot_time,snapshot_count,avg_seconds_between_snapshots,max_seconds_between_snapshots,unique_mid_count,mid_min,mid_max,mid_range,total_abs_mid_movement,largest_single_move,stale_minutes_total,longest_stale_period_minutes,moved_after_score_event,moved_after_inning_end,moved_after_lead_change,market_liveness_label
KXMLBF5TOTAL-26JUN152140PITATH-7,f5_total,PIT@ATH,PIT,ATH,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,1,40,40,0,0,0,700.23,700.23,False,False,False,stale
KXMLBF5TOTAL-26JUN152140LAAAZ-6,f5_total,LAA@AZ,LAA,AZ,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,2,41,42,1,1,1,697.11,469.08,False,False,False,stale
KXMLBF5TOTAL-26JUN152140LAAAZ-5,f5_total,LAA@AZ,LAA,AZ,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,2,53,54,1,1,1,697.93,497.99,False,False,False,stale
KXMLBF5TOTAL-26JUN152140LAAAZ-3,f5_total,LAA@AZ,LAA,AZ,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,1,79,79,0,0,0,700.23,700.23,False,False,False,stale
KXMLBF5TOTAL-26JUN152140LAAAZ-2,f5_total,LAA@AZ,LAA,AZ,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,2,89,90,1,2,1,692.17,241.0,False,False,False,stale
KXMLBF5TOTAL-26JUN152140LAAAZ-7,f5_total,LAA@AZ,LAA,AZ,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,3,30,32,2,2,1,692.17,241.0,False,False,False,stale
KXMLBF5TOTAL-26JUN152140LAAAZ-1,f5_total,LAA@AZ,LAA,AZ,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,2,95,96,1,1,1,697.11,469.08,False,False,False,stale
KXMLBF5TOTAL-26JUN152140LAAAZ-4,f5_total,LAA@AZ,LAA,AZ,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,1,66,66,0,0,0,700.23,700.23,False,False,False,stale
KXMLBF5TOTAL-26JUN152010DETHOU-3,f5_total,DET@HOU,DET,HOU,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,4,78,99,21,21,15,689.87,228.04,True,True,False,live_responsive
KXMLBF5TOTAL-26JUN152010DETHOU-5,f5_total,DET@HOU,DET,HOU,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,3,52,99,47,47,43,692.99,454.29,True,True,False,live_responsive
KXMLBF5TOTAL-26JUN152010DETHOU-1,f5_total,DET@HOU,DET,HOU,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,3,95,99,4,4,3,692.17,241.0,True,True,False,live_responsive
KXMLBF5TOTAL-26JUN152010DETHOU-6,f5_total,DET@HOU,DET,HOU,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,3,41,79,38,38,37,692.99,454.29,True,True,False,live_responsive
KXMLBF5TOTAL-26JUN152010DETHOU-4,f5_total,DET@HOU,DET,HOU,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,4,65,99,34,34,29,689.87,228.04,True,True,False,live_responsive
KXMLBF5TOTAL-26JUN152010DETHOU-7,f5_total,DET@HOU,DET,HOU,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,3,30,67,37,37,36,692.99,454.29,True,True,False,live_responsive
KXMLBF5TOTAL-26JUN152010DETHOU-2,f5_total,DET@HOU,DET,HOU,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,3,88,99,11,11,10,692.99,454.29,True,True,False,live_responsive
KXMLBF5TOTAL-26JUN152005MINTEX-3,f5_total,MIN@TEX,MIN,TEX,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,2,74,99,25,25,25,695.29,454.29,False,True,False,stale
KXMLBF5TOTAL-26JUN152005MINTEX-6,f5_total,MIN@TEX,MIN,TEX,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,3,35,63,28,50,28,692.99,454.29,False,True,False,live_responsive
KXMLBF5TOTAL-26JUN152005MINTEX-7,f5_total,MIN@TEX,MIN,TEX,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,3,25,48,23,42,23,692.99,454.29,False,True,False,live_responsive
KXMLBF5TOTAL-26JUN152005MINTEX-4,f5_total,MIN@TEX,MIN,TEX,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,3,61,99,38,38,30,692.99,454.29,False,True,False,live_responsive
KXMLBF5TOTAL-26JUN152005MINTEX-1,f5_total,MIN@TEX,MIN,TEX,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,2,93,99,6,6,6,695.29,454.29,False,True,False,stale
KXMLBF5TOTAL-26JUN152005MINTEX-5,f5_total,MIN@TEX,MIN,TEX,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,3,47,99,52,52,31,692.99,454.29,False,True,False,live_responsive
KXMLBF5TOTAL-26JUN152005MINTEX-2,f5_total,MIN@TEX,MIN,TEX,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,2,86,99,13,13,13,695.29,454.29,False,True,False,stale
KXMLBF5TOTAL-26JUN152005COLCHC-7,f5_total,COL@CHC,COL,CHC,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,3,5,35,30,30,23,692.99,454.29,False,True,False,live_responsive
KXMLBF5TOTAL-26JUN152005COLCHC-5,f5_total,COL@CHC,COL,CHC,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,3,11,58,47,47,41,692.99,454.29,False,True,False,live_responsive
KXMLBF5TOTAL-26JUN152005COLCHC-4,f5_total,COL@CHC,COL,CHC,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,4,22,71,49,50,45,689.87,228.04,False,True,False,live_responsive
KXMLBF5TOTAL-26JUN152005COLCHC-2,f5_total,COL@CHC,COL,CHC,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,4,58,91,33,35,33,689.87,228.04,False,True,False,live_responsive
KXMLBF5TOTAL-26JUN152005COLCHC-3,f5_total,COL@CHC,COL,CHC,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,3,33,81,48,49,48,692.99,454.29,False,True,False,live_responsive
KXMLBF5TOTAL-26JUN152005COLCHC-1,f5_total,COL@CHC,COL,CHC,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,2,95,99,4,4,4,695.29,454.29,False,True,False,stale
KXMLBF5TOTAL-26JUN152005COLCHC-6,f5_total,COL@CHC,COL,CHC,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,4,6,46,40,41,36,689.87,228.04,False,True,False,live_responsive
KXMLBF5TOTAL-26JUN151945SDSTL-3,f5_total,SD@STL,SD,STL,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,2,22,78,56,56,56,695.29,454.29,False,True,False,stale
KXMLBF5TOTAL-26JUN151945SDSTL-7,f5_total,SD@STL,SD,STL,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,2,2,29,27,27,27,695.29,454.29,False,True,False,stale
KXMLBF5TOTAL-26JUN151945SDSTL-4,f5_total,SD@STL,SD,STL,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,3,15,66,51,52,51,692.17,241.0,False,True,False,live_responsive
KXMLBF5TOTAL-26JUN151945SDSTL-5,f5_total,SD@STL,SD,STL,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,2,8,53,45,45,45,695.29,454.29,False,True,False,stale
KXMLBF5TOTAL-26JUN151945SDSTL-1,f5_total,SD@STL,SD,STL,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,3,61,95,34,35,34,692.17,241.0,False,True,False,live_responsive
KXMLBF5TOTAL-26JUN151945SDSTL-2,f5_total,SD@STL,SD,STL,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,2,37,88,51,51,51,695.29,454.29,False,True,False,stale
KXMLBF5TOTAL-26JUN151945SDSTL-6,f5_total,SD@STL,SD,STL,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,2,7,40,33,33,33,695.29,454.29,False,True,False,stale
KXMLBF5TOTAL-26JUN151910NYMCIN-2,f5_total,NYM@CIN,NYM,CIN,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,3,85,99,14,15,14,692.17,241.0,False,False,False,slow_but_moving
KXMLBF5TOTAL-26JUN151910NYMCIN-5,f5_total,NYM@CIN,NYM,CIN,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,3,44,99,55,55,53,692.17,241.0,False,False,False,slow_but_moving
KXMLBF5TOTAL-26JUN151910NYMCIN-1,f5_total,NYM@CIN,NYM,CIN,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,2,96,99,3,3,3,695.29,454.29,False,False,False,stale
KXMLBF5TOTAL-26JUN151910NYMCIN-3,f5_total,NYM@CIN,NYM,CIN,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,3,73,99,26,26,25,692.17,241.0,False,False,False,slow_but_moving
KXMLBF5TOTAL-26JUN151910NYMCIN-4,f5_total,NYM@CIN,NYM,CIN,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,3,58,99,41,41,39,692.17,241.0,False,False,False,slow_but_moving
KXMLBF5TOTAL-26JUN151910NYMCIN-6,f5_total,NYM@CIN,NYM,CIN,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,2,33,99,66,66,66,695.29,454.29,False,False,False,stale
KXMLBF5TOTAL-26JUN151910NYMCIN-7,f5_total,NYM@CIN,NYM,CIN,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,3,23,99,76,76,75,692.17,241.0,False,False,False,slow_but_moving
KXMLBF5TOTAL-26JUN151840MIAPHI-6,f5_total,MIA@PHI,MIA,PHI,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,1,34,34,0,0,0,700.23,700.23,False,False,False,stale
