candidate_id,candidate_type,original_label,replayed_tuning_pass_1_label,process_grade,game_id,derivative_type,market_ticker,selected_team,line_value,side,inning,outs,runners,score_away,score_home,entry_yes_bid,entry_yes_ask,entry_mid,entry_spread,market_mismatch_score,baseball_support_score,execution_quality_score,risk_blocker_score,overall_watch_score,baseline_source,first_discovery_inflation_flag,good_entry_label,paper_status,proposed_side,entry_price_cents,settlement_result,paper_net_pnl_cents,outcome_explanation,delta_mid_next_300s,market_reaction_grade,would_be_watch_after_pass1,active_rally_flag,market_nearly_settled_flag,wide_spread_flag,contract_direction
859,full_game_total_extreme_reprice_watch,watch,watch,questionable_process,MIN@TEX,fg_total,KXMLBTOTAL-26JUN152005MINTEX-8,,8.0,NO,5,0,,3,2,73,74,73,1,70.0,22.0,100.0,30.0,63.1,first_discovery,1,possible_value,paper_closed,NO,45,win,52,,0,neutral,1,False,False,False,over_yes
860,trailing_team_total_lag_watch,watch,observe,bad_process,SD@STL,team_total,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,SD,,YES,6,0,,0,3,31,36,33,5,100.0,50.0,70.0,0.0,77.5,first_discovery,1,not_evaluable,blocked_observation,YES,,unknown,,,0,neutral,0,False,False,False,team_total_over_yes
861,full_game_total_extreme_reprice_watch,blocked,blocked,questionable_process,MIA@PHI,fg_total,KXMLBTOTAL-26JUN151840MIAPHI-6,,6.0,NO,8,0,1--,0,5,88,89,88,1,58.0,27.0,100.0,30.0,61.0,first_discovery,1,not_evaluable,blocked_observation,NO,,unknown,,,0,neutral,0,True,False,False,over_yes
862,trailing_team_total_lag_watch,watch,observe,bad_process,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,HOU,,YES,3,0,,5,0,74,80,77,6,100.0,48.0,60.0,0.0,74.4,first_discovery,1,watch_only,paper_open,YES,87,unknown,,,0,neutral,0,False,False,False,team_total_over_yes
863,trailing_team_total_lag_watch,blocked,blocked,sound_process,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM5,NYM,,YES,6,0,,0,9,9,63,36,54,20.0,50.0,0.0,15.0,33.8,first_discovery,1,not_evaluable,blocked_observation,YES,,unknown,,,0,neutral,0,False,False,True,team_total_over_yes
864,full_game_total_extreme_reprice_watch,blocked,blocked,questionable_process,MIN@TEX,fg_total,KXMLBTOTAL-26JUN152005MINTEX-8,,8.0,NO,5,1,1--,3,2,73,74,73,1,70.0,22.0,100.0,30.0,63.1,first_discovery,1,possible_value,paper_closed,NO,45,win,52,,0,neutral,0,True,False,False,over_yes
865,trailing_team_total_lag_watch,blocked,blocked,questionable_process,SD@STL,team_total,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,SD,,YES,6,0,1--,0,3,31,36,33,5,100.0,50.0,70.0,0.0,77.5,first_discovery,1,not_evaluable,blocked_observation,YES,,unknown,,,0,neutral,0,True,False,False,team_total_over_yes
866,full_game_total_extreme_reprice_watch,blocked,blocked,questionable_process,MIA@PHI,fg_total,KXMLBTOTAL-26JUN151840MIAPHI-6,,6.0,NO,8,1,1-3,0,6,88,89,88,1,58.0,27.0,100.0,30.0,61.0,first_discovery,1,not_evaluable,blocked_observation,NO,,unknown,,,0,neutral,0,True,False,False,over_yes
867,full_game_total_extreme_reprice_watch,blocked,blocked,questionable_process,MIA@PHI,fg_total,KXMLBTOTAL-26JUN151840MIAPHI-6,,6.0,NO,8,2,1--,0,7,88,89,88,1,58.0,27.0,100.0,30.0,61.0,first_discovery,1,not_evaluable,blocked_observation,NO,,unknown,,,0,neutral,0,True,False,False,over_yes
868,trailing_team_total_lag_watch,blocked,blocked,questionable_process,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,HOU,,YES,3,2,1--,5,0,74,80,77,6,100.0,48.0,60.0,0.0,74.4,first_discovery,1,watch_only,paper_open,YES,87,unknown,,,0,neutral,0,True,False,False,team_total_over_yes
869,full_game_total_extreme_reprice_watch,watch,watch,questionable_process,MIN@TEX,fg_total,KXMLBTOTAL-26JUN152005MINTEX-8,,8.0,NO,5,0,,3,2,73,74,73,1,70.0,22.0,100.0,30.0,63.1,first_discovery,1,possible_value,paper_closed,NO,45,win,52,,0,neutral,1,False,False,False,over_yes
