candidate_id,game,derivative_type,market_ticker,original_label,replayed_label,process_grade,side,bid,ask,mid,spread_cents,tape_label,raw_edge_cents,entry_price_cents,entry_friction_cents,exit_friction_cents,spread_penalty_cents,thin_tape_penalty_cents,conservative_fee_buffer_cents,conservative_net_edge_cents,paper_take_eligible,friction_fail_reason,hedge_alternative_cost_cents
889,MIN@TEX,fg_total,KXMLBTOTAL-26JUN152005MINTEX-8,watch,watch,questionable_process,NO,73,74,73,1,usable_tape,73,27,1,1,0,0,5,66,True,,74
890,MIN@TEX,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX2,watch,suppress,bad_process,YES,99,100,99,1,usable_tape,0,100,1,1,0,0,3,-5,False,insufficient_net_edge,1
891,DET@HOU,fg_total,KXMLBTOTAL-26JUN152010DETHOU-7,watch,watch,questionable_process,NO,94,96,95,2,usable_tape,94,6,1,1,0,0,4,88,True,,96
892,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,watch,suppress,bad_process,YES,74,80,77,6,usable_tape,20,80,3,3,0,0,5,9,True,,26
893,DET@HOU,fg_total,KXMLBTOTAL-26JUN152010DETHOU-7,blocked,blocked,questionable_process,NO,94,96,95,2,usable_tape,94,6,1,1,0,0,4,88,True,,96
894,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,blocked,blocked,questionable_process,YES,74,80,77,6,usable_tape,20,80,3,3,0,0,5,9,True,,26
895,MIN@TEX,fg_total,KXMLBTOTAL-26JUN152005MINTEX-8,watch,watch,questionable_process,NO,73,74,73,1,usable_tape,73,27,1,1,0,0,5,66,True,,74
896,DET@HOU,fg_total,KXMLBTOTAL-26JUN152010DETHOU-7,blocked,blocked,questionable_process,NO,94,96,95,2,usable_tape,94,6,1,1,0,0,4,88,True,,96
897,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,blocked,blocked,questionable_process,YES,74,80,77,6,usable_tape,20,80,3,3,0,0,5,9,True,,26
898,DET@HOU,fg_total,KXMLBTOTAL-26JUN152010DETHOU-7,watch,watch,questionable_process,NO,94,96,95,2,usable_tape,94,6,1,1,0,0,4,88,True,,96
899,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,watch,suppress,bad_process,YES,74,80,77,6,usable_tape,20,80,3,3,0,0,5,9,True,,26
900,MIN@TEX,fg_total,KXMLBTOTAL-26JUN152005MINTEX-8,watch,watch,questionable_process,NO,73,74,73,1,usable_tape,73,27,1,1,0,0,5,66,True,,74
901,DET@HOU,fg_total,KXMLBTOTAL-26JUN152010DETHOU-7,watch,watch,questionable_process,NO,94,96,95,2,usable_tape,94,6,1,1,0,0,4,88,True,,96
902,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,watch,suppress,bad_process,YES,74,80,77,6,usable_tape,20,80,3,3,0,0,5,9,True,,26
903,MIN@TEX,fg_total,KXMLBTOTAL-26JUN152005MINTEX-8,blocked,blocked,questionable_process,NO,73,74,73,1,usable_tape,73,27,1,1,0,0,5,66,True,,74
904,DET@HOU,fg_total,KXMLBTOTAL-26JUN152010DETHOU-7,blocked,blocked,questionable_process,NO,94,96,95,2,usable_tape,94,6,1,1,0,0,4,88,True,,96
905,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,blocked,blocked,questionable_process,YES,74,80,77,6,usable_tape,20,80,3,3,0,0,5,9,True,,26
906,MIN@TEX,fg_total,KXMLBTOTAL-26JUN152005MINTEX-8,blocked,blocked,questionable_process,NO,73,74,73,1,usable_tape,73,27,1,1,0,0,5,66,True,,74
907,MIN@TEX,fg_total,KXMLBTOTAL-26JUN152005MINTEX-8,blocked,blocked,questionable_process,NO,73,74,73,1,usable_tape,73,27,1,1,0,0,5,66,True,,74
908,DET@HOU,fg_total,KXMLBTOTAL-26JUN152010DETHOU-7,watch,watch,questionable_process,NO,94,96,95,2,usable_tape,94,6,1,1,0,0,4,88,True,,96
909,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,watch,suppress,bad_process,YES,74,80,77,6,usable_tape,20,80,3,3,0,0,5,9,True,,26
910,DET@HOU,fg_total,KXMLBTOTAL-26JUN152010DETHOU-7,blocked,blocked,questionable_process,NO,94,96,95,2,usable_tape,94,6,1,1,0,0,4,88,True,,96
911,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,blocked,blocked,questionable_process,YES,74,80,77,6,usable_tape,20,80,3,3,0,0,5,9,True,,26
912,MIN@TEX,fg_total,KXMLBTOTAL-26JUN152005MINTEX-8,blocked,blocked,questionable_process,NO,73,74,73,1,usable_tape,73,27,1,1,0,0,5,66,True,,74
913,DET@HOU,fg_total,KXMLBTOTAL-26JUN152010DETHOU-7,watch,watch,questionable_process,NO,94,96,95,2,usable_tape,94,6,1,1,0,0,4,88,True,,96
