feature,feature_value,outcome,seasons_seen,season_count,total_count,min_season_count,avg_rate,avg_lift,min_lift,max_lift,stability_label
big_inning_allowed_rate_L10_bucket,below_avg_25_40,opponent_runs_5plus,"2023,2024,2025",3,3121,955,0.4074,-0.0241,-0.033,-0.0155,mixed_or_noisy
BO_vs_opponent_BD_gap_bucket,minus_15_or_worse,team_f5_runs_2plus,"2023,2024,2025",3,5602,1794,0.5594,-0.0238,-0.0276,-0.0192,mixed_or_noisy
BD_chaos_bucket,high_105_115,team_runs_4plus,"2023,2024,2025",3,2318,696,0.5816,0.0237,-0.0016,0.0369,mixed_or_noisy
BO_L5_bucket,very_low_lt_85,team_runs_5plus,"2023,2024,2025",3,4859,1580,0.4085,-0.0231,-0.0274,-0.0187,mixed_or_noisy
BO_vs_opponent_BD_gap_bucket,plus_15_plus,game_total_9plus,"2023,2024,2025",3,4841,1576,0.5216,0.0231,0.0156,0.0273,mixed_or_noisy
BO_event_bucket,very_low_lt_85,team_runs_4plus,"2023,2024,2025",3,3528,1159,0.5348,-0.0231,-0.0322,-0.0158,mixed_or_noisy
BO_vs_opponent_BD_gap_bucket,plus_15_plus,team_f5_runs_2plus,"2023,2024,2025",3,4841,1576,0.6061,0.023,0.0099,0.0393,mixed_or_noisy
bullpen_heavy_previous_game,yes,opponent_post5_runs_2plus,"2023,2024,2025",3,2846,870,0.504,0.023,0.0075,0.042,mixed_or_noisy
BO_gap_bucket,minus_7_to_15,team_post5_runs_2plus,"2023,2024,2025",3,1245,378,0.5039,0.023,0.008,0.0405,mixed_or_noisy
BO_gap_bucket,plus_7_to_15,opponent_post5_runs_2plus,"2023,2024,2025",3,1245,378,0.5039,0.023,0.008,0.0405,mixed_or_noisy
BD_gap_bucket,minus_15_or_worse,team_f5_runs_2plus,"2023,2024,2025",3,5272,1701,0.5603,-0.0229,-0.0246,-0.0198,mixed_or_noisy
BO_L5_bucket,avg_95_105,team_f5_runs_2plus,"2023,2024,2025",3,1684,531,0.606,0.0229,0.0136,0.0373,mixed_or_noisy
BO_gap_bucket,minus_7_to_15,game_total_10plus,"2023,2024,2025",3,1245,378,0.4219,0.0228,-0.014,0.0586,mixed_or_noisy
BO_gap_bucket,plus_7_to_15,game_total_10plus,"2023,2024,2025",3,1245,378,0.4219,0.0228,-0.014,0.0586,mixed_or_noisy
big_inning_allowed_rate_L10_bucket,high_55_70,team_runs_4plus,"2023,2024,2025",3,1808,537,0.5355,-0.0224,-0.033,-0.0111,mixed_or_noisy
BO_event_bucket,very_high_115_plus,team_runs_4plus,"2023,2024,2025",3,2686,811,0.5801,0.0221,0.0068,0.0414,mixed_or_noisy
BO_L10_bucket,avg_95_105,f5_total_4plus,"2023,2024,2025",3,2079,628,0.604,-0.0219,-0.0379,-0.0111,mixed_or_noisy
BO_bucket,avg_95_105,f5_total_4plus,"2023,2024,2025",3,2079,628,0.604,-0.0219,-0.0379,-0.0111,mixed_or_noisy
big_inning_allowed_rate_L10_bucket,low_lt_25,game_total_9plus,"2023,2024,2025",3,2661,788,0.4766,-0.0218,-0.0398,-0.0009,mixed_or_noisy
reliever_appearances_last_2d_bucket,low_1_3,f5_total_4plus,"2023,2024,2025",3,422,131,0.6478,0.0218,-0.0577,0.1015,mixed_or_noisy
BO_L10_bucket,avg_95_105,team_f5_runs_2plus,"2023,2024,2025",3,2079,628,0.5615,-0.0217,-0.0541,0.0215,mixed_or_noisy
BO_bucket,avg_95_105,team_f5_runs_2plus,"2023,2024,2025",3,2079,628,0.5615,-0.0217,-0.0541,0.0215,mixed_or_noisy
