season,feature,feature_value,outcome,count,feature_rate,baseline_rate,lift
2023,BD_L5_bucket,low_85_95,f5_total_4plus,526,0.6502,0.6342,0.016
2024,BD_L5_bucket,low_85_95,f5_total_4plus,564,0.6011,0.6211,-0.02
2025,BD_L5_bucket,low_85_95,f5_total_4plus,576,0.6233,0.6226,0.0007
2023,BD_L5_bucket,low_85_95,game_total_10plus,526,0.4392,0.4257,0.0135
2024,BD_L5_bucket,low_85_95,game_total_10plus,564,0.3794,0.3805,-0.0011
2025,BD_L5_bucket,low_85_95,game_total_10plus,576,0.3733,0.3911,-0.0178
2023,BD_L5_bucket,low_85_95,game_total_9plus,526,0.5323,0.5237,0.0086
2024,BD_L5_bucket,low_85_95,game_total_9plus,564,0.4557,0.4863,-0.0306
2025,BD_L5_bucket,low_85_95,game_total_9plus,576,0.474,0.4853,-0.0113
2023,BD_L5_bucket,low_85_95,opponent_post5_runs_2plus,526,0.5323,0.4955,0.0368
2024,BD_L5_bucket,low_85_95,opponent_post5_runs_2plus,564,0.4894,0.4773,0.0121
2025,BD_L5_bucket,low_85_95,opponent_post5_runs_2plus,576,0.4583,0.4701,-0.0118
2023,BD_L5_bucket,low_85_95,opponent_runs_4plus,526,0.5932,0.5745,0.0187
2024,BD_L5_bucket,low_85_95,opponent_runs_4plus,564,0.5638,0.55,0.0138
2025,BD_L5_bucket,low_85_95,opponent_runs_4plus,576,0.5573,0.5493,0.008
2023,BD_L5_bucket,low_85_95,opponent_runs_5plus,526,0.4582,0.4529,0.0053
2024,BD_L5_bucket,low_85_95,opponent_runs_5plus,564,0.4291,0.4252,0.0039
2025,BD_L5_bucket,low_85_95,opponent_runs_5plus,576,0.4201,0.4166,0.0035
2023,BD_L5_bucket,low_85_95,team_f5_runs_2plus,526,0.6103,0.5945,0.0158
2024,BD_L5_bucket,low_85_95,team_f5_runs_2plus,564,0.5567,0.5795,-0.0228
2025,BD_L5_bucket,low_85_95,team_f5_runs_2plus,576,0.5677,0.5754,-0.0077
2023,BD_L5_bucket,low_85_95,team_post5_runs_2plus,526,0.5057,0.4955,0.0102
2024,BD_L5_bucket,low_85_95,team_post5_runs_2plus,564,0.5195,0.4773,0.0422
2025,BD_L5_bucket,low_85_95,team_post5_runs_2plus,576,0.5052,0.4701,0.0351
2023,BD_L5_bucket,low_85_95,team_runs_4plus,526,0.5817,0.5745,0.0072
2024,BD_L5_bucket,low_85_95,team_runs_4plus,564,0.5656,0.55,0.0156
2025,BD_L5_bucket,low_85_95,team_runs_4plus,576,0.5556,0.5493,0.0063
2023,BD_L5_bucket,low_85_95,team_runs_5plus,526,0.4601,0.4529,0.0072
2024,BD_L5_bucket,low_85_95,team_runs_5plus,564,0.4131,0.4252,-0.0121
2025,BD_L5_bucket,low_85_95,team_runs_5plus,576,0.4167,0.4166,0.0001
2023,BD_L5_bucket,low_85_95,team_won,526,0.519,0.5,0.019
2024,BD_L5_bucket,low_85_95,team_won,564,0.5071,0.498,0.0091
2025,BD_L5_bucket,low_85_95,team_won,576,0.5,0.5,0.0
2023,BD_L5_bucket,very_high_115_plus,f5_total_4plus,1876,0.6274,0.6342,-0.0068
2024,BD_L5_bucket,very_high_115_plus,f5_total_4plus,1986,0.6299,0.6211,0.0088
2025,BD_L5_bucket,very_high_115_plus,f5_total_4plus,1888,0.6038,0.6226,-0.0188
2023,BD_L5_bucket,very_high_115_plus,game_total_10plus,1876,0.4254,0.4257,-0.0003
2024,BD_L5_bucket,very_high_115_plus,game_total_10plus,1986,0.3751,0.3805,-0.0054
2025,BD_L5_bucket,very_high_115_plus,game_total_10plus,1888,0.3829,0.3911,-0.0082
2023,BD_L5_bucket,very_high_115_plus,game_total_9plus,1876,0.5155,0.5237,-0.0082
2024,BD_L5_bucket,very_high_115_plus,game_total_9plus,1986,0.4783,0.4863,-0.008
2025,BD_L5_bucket,very_high_115_plus,game_total_9plus,1888,0.4714,0.4853,-0.0139
2023,BD_L5_bucket,very_high_115_plus,opponent_post5_runs_2plus,1876,0.4797,0.4955,-0.0158
2024,BD_L5_bucket,very_high_115_plus,opponent_post5_runs_2plus,1986,0.4637,0.4773,-0.0136
