generated_at,window_start,window_end,game_pk,game_date,game_id,team,opponent,home_away,coverage_gap_type,team_or_opponent_is_wsn
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823522,2026-07-20,PIT@NYY,NYY,PIT,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824898,2026-07-20,SD@ATL,SD,ATL,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824898,2026-07-20,SD@ATL,ATL,SD,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824087,2026-07-20,SF@KC,SF,KC,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824087,2026-07-20,SF@KC,KC,SF,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824006,2026-07-20,STL@LAA,STL,LAA,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824006,2026-07-20,STL@LAA,LAA,STL,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,822788,2026-07-20,TB@TOR,TB,TOR,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,822788,2026-07-20,TB@TOR,TOR,TB,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,825056,2026-07-21,ATH@AZ,ATH,AZ,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,825056,2026-07-21,ATH@AZ,AZ,ATH,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823114,2026-07-21,CIN@SEA,CIN,SEA,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823114,2026-07-21,CIN@SEA,SEA,CIN,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,822871,2026-07-21,CWS@TEX,CWS,TEX,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,822871,2026-07-21,CWS@TEX,TEX,CWS,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824652,2026-07-21,DET@CHC,DET,CHC,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824652,2026-07-21,DET@CHC,CHC,DET,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823437,2026-07-21,LAD@PHI,LAD,PHI,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823437,2026-07-21,LAD@PHI,PHI,LAD,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824165,2026-07-21,MIA@HOU,MIA,HOU,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824165,2026-07-21,MIA@HOU,HOU,MIA,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824409,2026-07-21,MIN@CLE,MIN,CLE,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824409,2026-07-21,MIN@CLE,CLE,MIN,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823760,2026-07-21,NYM@MIL,NYM,MIL,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823760,2026-07-21,NYM@MIL,MIL,NYM,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824895,2026-07-21,SD@ATL,SD,ATL,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824895,2026-07-21,SD@ATL,ATL,SD,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824085,2026-07-21,SF@KC,SF,KC,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824085,2026-07-21,SF@KC,KC,SF,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824005,2026-07-21,STL@LAA,STL,LAA,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824005,2026-07-21,STL@LAA,LAA,STL,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,822787,2026-07-21,TB@TOR,TB,TOR,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,822787,2026-07-21,TB@TOR,TOR,TB,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,825055,2026-07-22,ATH@AZ,ATH,AZ,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,825055,2026-07-22,ATH@AZ,AZ,ATH,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823110,2026-07-22,CIN@SEA,CIN,SEA,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823110,2026-07-22,CIN@SEA,SEA,CIN,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,822873,2026-07-22,CWS@TEX,CWS,TEX,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,822873,2026-07-22,CWS@TEX,TEX,CWS,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824650,2026-07-22,DET@CHC,DET,CHC,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824650,2026-07-22,DET@CHC,CHC,DET,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823438,2026-07-22,LAD@PHI,LAD,PHI,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823438,2026-07-22,LAD@PHI,PHI,LAD,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824166,2026-07-22,MIA@HOU,MIA,HOU,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824166,2026-07-22,MIA@HOU,HOU,MIA,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824408,2026-07-22,MIN@CLE,MIN,CLE,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824408,2026-07-22,MIN@CLE,CLE,MIN,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823761,2026-07-22,NYM@MIL,NYM,MIL,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823761,2026-07-22,NYM@MIL,MIL,NYM,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824896,2026-07-22,SD@ATL,SD,ATL,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824896,2026-07-22,SD@ATL,ATL,SD,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824083,2026-07-22,SF@KC,SF,KC,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824083,2026-07-22,SF@KC,KC,SF,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824004,2026-07-22,STL@LAA,STL,LAA,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824004,2026-07-22,STL@LAA,LAA,STL,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,822784,2026-07-22,TB@TOR,TB,TOR,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,822784,2026-07-22,TB@TOR,TOR,TB,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824247,2026-07-23,KC@DET,KC,DET,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824247,2026-07-23,KC@DET,DET,KC,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824406,2026-07-23,MIN@CLE,MIN,CLE,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824406,2026-07-23,MIN@CLE,CLE,MIN,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824893,2026-07-23,SD@ATL,SD,ATL,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824893,2026-07-23,SD@ATL,ATL,SD,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,822785,2026-07-23,TB@TOR,TB,TOR,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,822785,2026-07-23,TB@TOR,TOR,TB,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823680,2026-07-24,ATH@MIN,ATH,MIN,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823680,2026-07-24,ATH@MIN,MIN,ATH,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824812,2026-07-24,ATL@BAL,ATL,BAL,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824812,2026-07-24,ATL@BAL,BAL,ATL,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823352,2026-07-24,CHC@PIT,CHC,PIT,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823352,2026-07-24,CHC@PIT,PIT,CHC,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823031,2026-07-24,CIN@STL,CIN,STL,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823031,2026-07-24,CIN@STL,STL,CIN,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,822952,2026-07-24,CLE@TB,CLE,TB,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,822952,2026-07-24,CLE@TB,TB,CLE,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823759,2026-07-24,COL@MIL,COL,MIL,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823759,2026-07-24,COL@MIL,MIL,COL,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824573,2026-07-24,HOU@CWS,HOU,CWS,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824573,2026-07-24,HOU@CWS,CWS,HOU,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824248,2026-07-24,KC@DET,KC,DET,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824248,2026-07-24,KC@DET,DET,KC,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823196,2026-07-24,LAA@SF,LAA,SF,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823196,2026-07-24,LAA@SF,SF,LAA,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823601,2026-07-24,LAD@NYM,LAD,NYM,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823601,2026-07-24,LAD@NYM,NYM,LAD,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823434,2026-07-24,NYY@PHI,NYY,PHI,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823434,2026-07-24,NYY@PHI,PHI,NYY,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823843,2026-07-24,SD@MIA,SD,MIA,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823843,2026-07-24,SD@MIA,MIA,SD,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,822872,2026-07-24,SEA@TEX,SEA,TEX,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,822872,2026-07-24,SEA@TEX,TEX,SEA,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824733,2026-07-24,TOR@BOS,TOR,BOS,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824733,2026-07-24,TOR@BOS,BOS,TOR,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823679,2026-07-25,ATH@MIN,ATH,MIN,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823679,2026-07-25,ATH@MIN,MIN,ATH,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824811,2026-07-25,ATL@BAL,ATL,BAL,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824811,2026-07-25,ATL@BAL,BAL,ATL,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823355,2026-07-25,CHC@PIT,CHC,PIT,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823355,2026-07-25,CHC@PIT,PIT,CHC,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823027,2026-07-25,CIN@STL,CIN,STL,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823027,2026-07-25,CIN@STL,STL,CIN,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,822948,2026-07-25,CLE@TB,CLE,TB,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,822948,2026-07-25,CLE@TB,TB,CLE,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823758,2026-07-25,COL@MIL,COL,MIL,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823758,2026-07-25,COL@MIL,MIL,COL,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824571,2026-07-25,HOU@CWS,HOU,CWS,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824571,2026-07-25,HOU@CWS,CWS,HOU,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824244,2026-07-25,KC@DET,KC,DET,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824244,2026-07-25,KC@DET,DET,KC,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823197,2026-07-25,LAA@SF,LAA,SF,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823197,2026-07-25,LAA@SF,SF,LAA,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823600,2026-07-25,LAD@NYM,LAD,NYM,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823600,2026-07-25,LAD@NYM,NYM,LAD,home,ok_has_usable_price,False
