generated_at,window_start,window_end,game_date,game_id,subject_team,market_type,threshold,side,brain_score,calibrated_probability,market_implied_probability_cents,gap_cents,bucket,graded,outcome,pl_cents
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-24,CLE@TB,CLE,team_total,5.0,NO,0.0,0.5546,66.0,-10.54,brain_high_market_high,True,WIN,34.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-26,SEA@TEX,TEX,team_total,5.0,NO,0.052,0.5546,66.0,-10.54,brain_high_market_high,True,WIN,34.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-20,ATH@AZ,AZ,team_total,5.0,NO,0.0,0.5546,45.0,10.46,brain_high_market_low,True,WIN,55.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-20,SF@KC,KC,team_total,5.0,NO,0.0,0.5546,45.0,10.46,brain_high_market_low,True,WIN,55.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-25,COL@MIL,MIL,team_total,4.0,YES,0.3338,0.6174,72.0,-10.260000000000005,brain_high_market_high,True,WIN,28.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-26,KC@DET,KC,moneyline,,YES,0.0,0.472,37.0,10.199999999999996,brain_low_market_low,True,WIN,63.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-26,KC@DET,DET,team_total,4.0,YES,0.1495,0.5883,69.0,-10.169999999999995,brain_high_market_high,True,WIN,31.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-25,LAD@NYM,NYM,team_total,4.0,YES,0.0,0.531,43.0,10.100000000000001,brain_high_market_low,True,LOSE,-43.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-19,MIN@CHC,MIN,team_total,4.0,YES,0.0519,0.531,43.0,10.100000000000001,brain_high_market_low,True,LOSE,-43.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-25,ATH@MIN,ATH,team_total,4.0,YES,0.0481,0.531,63.0,-9.899999999999999,brain_high_market_high,True,LOSE,-63.0
