candidate_id,candidate_type,derivative_type,market_ticker,game_pk,inning,half_inning,score_away,score_home,runners_state,baseline_source,original_mismatch,replayed_mismatch,mismatch_capped,mismatch_delta,original_label,replayed_label,replayed_blocked_reason,classification_changed,process_grade,settlement_result,outcome_explanation,paper_setup_id,paper_net_pnl_cents
930,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN152210TBLAD-LAD6,823938,2,top,3,0,,first_discovery,8.0,8.0,False,0.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,31,
931,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN152210TBLAD-LAD6,823938,2,bottom,3,0,,first_discovery,8.0,8.0,False,0.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,31,
934,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,824993,4,top,0,3,,first_discovery,100.0,25.0,True,75.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,32,
940,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,824993,4,top,1,3,,first_discovery,100.0,25.0,True,75.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,32,
944,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,824993,4,bottom,1,5,,first_discovery,100.0,25.0,True,75.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,32,
947,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,824993,5,top,1,5,,first_discovery,100.0,25.0,True,75.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,32,
948,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,824993,5,bottom,1,5,,first_discovery,100.0,25.0,True,75.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,32,
951,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,824993,5,bottom,1,6,,first_discovery,100.0,25.0,True,75.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,32,
952,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,824993,6,top,1,6,,first_discovery,100.0,25.0,True,75.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,32,
954,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,824993,6,bottom,1,6,,first_discovery,100.0,25.0,True,75.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,32,
