game_date,away_team,home_team,away_abbr,home_abbr,reason,source_url
2025-06-26,Athletics Athletics,Detroit Tigers,,DET,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-06-26
2025-06-27,Athletics Athletics,New York Yankees,,NYY,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-06-27
2025-06-28,Athletics Athletics,New York Yankees,,NYY,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-06-28
2025-06-29,Athletics Athletics,New York Yankees,,NYY,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-06-29
2025-06-30,Athletics Athletics,Tampa Bay Rays,,TB,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-06-30
2025-07-01,Athletics Athletics,Tampa Bay Rays,,TB,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-07-01
2025-07-02,Athletics Athletics,Tampa Bay Rays,,TB,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-07-02
2025-07-04,San Francisco Giants,Athletics Athletics,SF,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-07-04
2025-07-05,San Francisco Giants,Athletics Athletics,SF,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-07-05
2025-07-06,San Francisco Giants,Athletics Athletics,SF,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-07-06
2025-07-08,Atlanta Braves,Athletics Athletics,ATL,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-07-08
2025-07-09,Atlanta Braves,Athletics Athletics,ATL,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-07-09
2025-07-10,Atlanta Braves,Athletics Athletics,ATL,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-07-10
2025-07-11,Toronto Blue Jays,Athletics Athletics,TOR,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-07-11
2025-07-12,Toronto Blue Jays,Athletics Athletics,TOR,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-07-12
2025-07-13,Toronto Blue Jays,Athletics Athletics,TOR,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-07-13
2025-07-18,Athletics Athletics,Cleveland Guardians,,CLE,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-07-18
2025-07-19,Athletics Athletics,Cleveland Guardians,,CLE,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-07-19
2025-07-20,Athletics Athletics,Cleveland Guardians,,CLE,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-07-20
2025-07-21,Athletics Athletics,Texas Rangers,,TEX,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-07-21
2025-07-22,Athletics Athletics,Texas Rangers,,TEX,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-07-22
2025-07-23,Athletics Athletics,Texas Rangers,,TEX,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-07-23
2025-07-24,Athletics Athletics,Houston Astros,,HOU,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-07-24
2025-07-25,Athletics Athletics,Houston Astros,,HOU,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-07-25
2025-07-26,Athletics Athletics,Houston Astros,,HOU,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-07-26
2025-07-27,Athletics Athletics,Houston Astros,,HOU,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-07-27
2025-07-28,Seattle Mariners,Athletics Athletics,SEA,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-07-28
2025-07-29,Seattle Mariners,Athletics Athletics,SEA,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-07-29
2025-07-30,Seattle Mariners,Athletics Athletics,SEA,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-07-30
2025-08-01,Arizona Diamondbacks,Athletics Athletics,AZ,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-08-01
2025-08-02,Arizona Diamondbacks,Athletics Athletics,AZ,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-08-02
2025-08-03,Arizona Diamondbacks,Athletics Athletics,AZ,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-08-03
2025-08-05,Athletics Athletics,Washington Nationals,,WSN,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-08-05
2025-08-06,Athletics Athletics,Washington Nationals,,WSN,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-08-06
2025-08-07,Athletics Athletics,Washington Nationals,,WSN,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-08-07
2025-08-08,Athletics Athletics,Baltimore Orioles,,BAL,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-08-08
2025-08-09,Athletics Athletics,Baltimore Orioles,,BAL,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-08-09
2025-08-10,Athletics Athletics,Baltimore Orioles,,BAL,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-08-10
2025-08-11,Tampa Bay Rays,Athletics Athletics,TB,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-08-11
2025-08-12,Tampa Bay Rays,Athletics Athletics,TB,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-08-12
2025-08-13,Tampa Bay Rays,Athletics Athletics,TB,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-08-13
2025-08-15,Los Angeles Angels,Athletics Athletics,LAA,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-08-15
2025-08-16,Los Angeles Angels,Athletics Athletics,LAA,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-08-16
