id,game_pk,checked_at,status,inning,inning_half,outs,away_score,home_score,balls,strikes,runner_state,current_batter,current_pitcher
17572,823128,2026-06-16T23:52:04.648658,Live,9,top,1,1,3,1,1,,Gunnar Henderson,Andrés Muñoz
17571,825070,2026-06-16T23:51:33.122019,Live,8,bottom,1,7,0,3,1,,Adrian Del Castillo,Kirby Yates
17570,824991,2026-06-16T23:51:31.855034,Live,7,top,3,5,5,2,1,,Nick Gonzales,Hogan Harris
17569,824912,2026-06-16T23:51:30.625079,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17568,823939,2026-06-16T23:51:29.366575,Live,8,top,3,0,1,0,3,,Taylor Walls,Kyle Hurt
17567,823128,2026-06-16T23:51:28.098500,Live,9,top,0,1,3,0,1,,Gunnar Henderson,Andrés Muñoz
17566,825070,2026-06-16T23:50:56.479840,Live,8,bottom,1,7,0,1,1,,Adrian Del Castillo,Kirby Yates
17565,824991,2026-06-16T23:50:55.130423,Live,7,top,3,5,5,2,1,,Nick Gonzales,Hogan Harris
17564,824912,2026-06-16T23:50:53.803673,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17563,823939,2026-06-16T23:50:52.553687,Live,8,top,2,0,1,0,2,,Taylor Walls,Kyle Hurt
17562,823128,2026-06-16T23:50:51.250221,Live,9,top,0,1,3,0,0,,Gunnar Henderson,Andrés Muñoz
17561,825070,2026-06-16T23:50:19.591811,Live,8,bottom,1,7,0,1,0,,Adrian Del Castillo,Kirby Yates
17560,824991,2026-06-16T23:50:18.268440,Live,7,top,2,5,5,2,1,1--,Nick Gonzales,Hogan Harris
17559,824912,2026-06-16T23:50:17.009967,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17558,823939,2026-06-16T23:50:15.727138,Live,8,top,2,0,1,0,1,,Taylor Walls,Kyle Hurt
17557,823128,2026-06-16T23:50:14.499948,Live,9,top,0,1,3,0,0,,Gunnar Henderson,Andrés Muñoz
17556,825070,2026-06-16T23:49:42.893367,Live,8,bottom,0,7,0,0,3,,Jordan Lawlar,Kirby Yates
17555,824991,2026-06-16T23:49:41.577349,Live,7,top,2,5,5,1,0,1--,Nick Gonzales,Hogan Harris
17554,824912,2026-06-16T23:49:40.353069,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17553,823939,2026-06-16T23:49:39.119355,Live,8,top,1,0,1,0,2,,Nick Fortes,Kyle Hurt
17552,823128,2026-06-16T23:49:37.802517,Live,8,bottom,3,1,3,0,1,,Victor Robles,Keegan Akin
17551,825070,2026-06-16T23:49:06.157209,Live,8,bottom,0,7,0,0,1,,Jordan Lawlar,Kirby Yates
17550,824991,2026-06-16T23:49:04.851611,Live,7,top,2,5,5,0,0,1--,Nick Gonzales,Hogan Harris
17549,824912,2026-06-16T23:49:03.615523,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17548,823939,2026-06-16T23:49:02.326512,Live,8,top,1,0,1,0,2,,Nick Fortes,Kyle Hurt
