game_date,away_team,home_team,start_time,away_pitcher,home_pitcher,sportsbook,away_moneyline,home_moneyline,opener_away,opener_home,source_url,parse_method
2026-06-22,Cleveland Guardians,Chicago White Sox,2026-06-22T23:40:00,G. Williams,A. Kay,bet365,-116,-116,-127,-104,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Cleveland Guardians,Chicago White Sox,2026-06-22T23:40:00,G. Williams,A. Kay,DraftKings,-110,-110,-115,-105,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Cleveland Guardians,Chicago White Sox,2026-06-22T23:40:00,G. Williams,A. Kay,Fanatics Sportsbook,-110,-110,-110,-110,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Arizona Diamondbacks,St. Louis Cardinals,2026-06-22T23:45:00,M. Kelly,A. Pallante,BetMGM,+125,-150,+118,-145,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Arizona Diamondbacks,St. Louis Cardinals,2026-06-22T23:45:00,M. Kelly,A. Pallante,FanDuel,+128,-152,+120,-142,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Arizona Diamondbacks,St. Louis Cardinals,2026-06-22T23:45:00,M. Kelly,A. Pallante,Caesars,+130,-155,+118,-140,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Arizona Diamondbacks,St. Louis Cardinals,2026-06-22T23:45:00,M. Kelly,A. Pallante,bet365,+120,-161,+110,-143,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Arizona Diamondbacks,St. Louis Cardinals,2026-06-22T23:45:00,M. Kelly,A. Pallante,DraftKings,+119,-144,+119,-143,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Arizona Diamondbacks,St. Louis Cardinals,2026-06-22T23:45:00,M. Kelly,A. Pallante,Fanatics Sportsbook,+130,-155,+115,-140,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Boston Red Sox,Colorado Rockies,2026-06-23T00:40:00,J. Bennett,R. Feltner,BetMGM,-145,+118,-125,+105,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Boston Red Sox,Colorado Rockies,2026-06-23T00:40:00,J. Bennett,R. Feltner,FanDuel,-136,+116,-124,+106,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Boston Red Sox,Colorado Rockies,2026-06-23T00:40:00,J. Bennett,R. Feltner,Caesars,-140,+118,-125,+105,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Boston Red Sox,Colorado Rockies,2026-06-23T00:40:00,J. Bennett,R. Feltner,bet365,-149,+115,-132,+101,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Boston Red Sox,Colorado Rockies,2026-06-23T00:40:00,J. Bennett,R. Feltner,DraftKings,-137,+114,-126,+104,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Boston Red Sox,Colorado Rockies,2026-06-23T00:40:00,J. Bennett,R. Feltner,Fanatics Sportsbook,-140,+115,-120,+100,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Baltimore Orioles,Los Angeles Angels,2026-06-23T01:38:00,K. Bradish,S. Aldegheri,BetMGM,-165,+135,-160,+135,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Baltimore Orioles,Los Angeles Angels,2026-06-23T01:38:00,K. Bradish,S. Aldegheri,FanDuel,-162,+136,-164,+138,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Baltimore Orioles,Los Angeles Angels,2026-06-23T01:38:00,K. Bradish,S. Aldegheri,Caesars,-165,+140,-160,+135,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Baltimore Orioles,Los Angeles Angels,2026-06-23T01:38:00,K. Bradish,S. Aldegheri,bet365,-179,+135,-172,+130,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Baltimore Orioles,Los Angeles Angels,2026-06-23T01:38:00,K. Bradish,S. Aldegheri,DraftKings,-158,+131,-163,+135,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Baltimore Orioles,Los Angeles Angels,2026-06-23T01:38:00,K. Bradish,S. Aldegheri,Fanatics Sportsbook,-170,+140,-155,+130,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Atlanta Braves,San Diego Padres,2026-06-23T02:10:00,G. Holmes,M. King,BetMGM,-105,-115,-110,-110,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Atlanta Braves,San Diego Padres,2026-06-23T02:10:00,G. Holmes,M. King,FanDuel,+100,-118,-106,-110,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Atlanta Braves,San Diego Padres,2026-06-23T02:10:00,G. Holmes,M. King,Caesars,-105,-115,-110,-110,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Atlanta Braves,San Diego Padres,2026-06-23T02:10:00,G. Holmes,M. King,bet365,-110,-122,-122,-110,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Atlanta Braves,San Diego Padres,2026-06-23T02:10:00,G. Holmes,M. King,DraftKings,-107,-112,-110,-110,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Atlanta Braves,San Diego Padres,2026-06-23T02:10:00,G. Holmes,M. King,Fanatics Sportsbook,-105,-115,+105,-125,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-04-25,Boston Red Sox,Baltimore Orioles,2026-04-25T16:05:00,G. Crochet,T. Rogers,BetMGM,+100,-120,-105,-115,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
2026-04-25,Boston Red Sox,Baltimore Orioles,2026-04-25T16:05:00,G. Crochet,T. Rogers,FanDuel,+108,-126,-104,-112,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
2026-04-25,Boston Red Sox,Baltimore Orioles,2026-04-25T16:05:00,G. Crochet,T. Rogers,Caesars,+110,-130,-105,-115,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
2026-04-25,Boston Red Sox,Baltimore Orioles,2026-04-25T16:05:00,G. Crochet,T. Rogers,bet365,+110,-130,-105,-115,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
2026-04-25,Boston Red Sox,Baltimore Orioles,2026-04-25T16:05:00,G. Crochet,T. Rogers,DraftKings,+103,-124,-105,-115,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
2026-04-25,Boston Red Sox,Baltimore Orioles,2026-04-25T16:05:00,G. Crochet,T. Rogers,Fanatics Sportsbook,+105,-125,+105,-125,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
2026-04-25,Seattle Mariners,St. Louis Cardinals,2026-04-25T18:15:00,B. Woo,M. Liberatore,BetMGM,-155,+125,-150,+125,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
2026-04-25,Seattle Mariners,St. Louis Cardinals,2026-04-25T18:15:00,B. Woo,M. Liberatore,FanDuel,-154,+130,-152,+128,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
2026-04-25,Seattle Mariners,St. Louis Cardinals,2026-04-25T18:15:00,B. Woo,M. Liberatore,Caesars,-145,+122,-145,+122,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
2026-04-25,Seattle Mariners,St. Louis Cardinals,2026-04-25T18:15:00,B. Woo,M. Liberatore,bet365,-150,+125,-150,+125,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
2026-04-25,Seattle Mariners,St. Louis Cardinals,2026-04-25T18:15:00,B. Woo,M. Liberatore,DraftKings,-149,+123,-149,+123,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
2026-04-25,Seattle Mariners,St. Louis Cardinals,2026-04-25T18:15:00,B. Woo,M. Liberatore,Fanatics Sportsbook,-150,+125,-140,+115,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
2026-04-25,Cleveland Guardians,Toronto Blue Jays,2026-04-25T19:07:00,J. Cantillo,K. Gausman,BetMGM,+125,-150,+120,-145,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
2026-04-25,Cleveland Guardians,Toronto Blue Jays,2026-04-25T19:07:00,J. Cantillo,K. Gausman,FanDuel,+128,-152,+118,-138,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
2026-04-25,Cleveland Guardians,Toronto Blue Jays,2026-04-25T19:07:00,J. Cantillo,K. Gausman,Caesars,+122,-145,+118,-140,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
2026-04-25,Cleveland Guardians,Toronto Blue Jays,2026-04-25T19:07:00,J. Cantillo,K. Gausman,bet365,+125,-150,+120,-140,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
