season,state_bucket,offense_form_bucket,count,held_to_win_rate,gave_up_tie_or_lead_rate,opponent_scored_next_1_inning_rate,opponent_scored_next_2_innings_rate,lead_reduced_next_2_rate,lead_cut_to_1_next_2_rate,baseline_count,held_to_win_baseline_rate,held_to_win_lift,gave_up_tie_or_lead_baseline_rate,gave_up_tie_or_lead_lift,opponent_scored_next_1_inning_baseline_rate,opponent_scored_next_1_inning_lift,opponent_scored_next_2_innings_baseline_rate,opponent_scored_next_2_innings_lift,lead_reduced_next_2_baseline_rate,lead_reduced_next_2_lift,lead_cut_to_1_next_2_baseline_rate,lead_cut_to_1_next_2_lift
2024,up_1_f5_1_5,40_45,644,0.6444,0.5745,0.4301,0.5854,0.4891,0.9705,3704,0.6547,-0.0103,0.5702,0.0043,0.4023,0.0278,0.5664,0.019,0.4355,0.0536,0.9754,-0.0049
2025,up_3_late_7_plus,45_50,638,0.9624,0.0596,0.3135,0.3715,0.2806,0.1176,2484,0.9569,0.0055,0.0761,-0.0165,0.318,-0.0045,0.3732,-0.0017,0.3019,-0.0213,0.1514,-0.0338
2024,up_3_f5_1_5,45_50,618,0.8398,0.2767,0.4207,0.5469,0.4482,0.2848,1931,0.8674,-0.0276,0.2258,0.0509,0.392,0.0287,0.5298,0.0171,0.4247,0.0235,0.2496,0.0352
2025,up_1_f5_1_5,40_45,606,0.632,0.5875,0.3845,0.5083,0.4208,0.9802,3632,0.6352,-0.0032,0.5765,0.011,0.4025,-0.018,0.5498,-0.0415,0.4452,-0.0244,0.9722,0.008
2025,up_1_early_1_3,60_plus,592,0.6689,0.6351,0.4071,0.576,0.4662,0.9628,5522,0.6108,0.0581,0.648,-0.0129,0.404,0.0031,0.5594,0.0166,0.4591,0.0071,0.958,0.0048
2023,up_1_late_7_plus,55_60,586,0.8225,0.2816,0.2969,0.3276,0.2816,0.9573,4144,0.7734,0.0491,0.3313,-0.0497,0.3448,-0.0479,0.3924,-0.0648,0.3313,-0.0497,0.9718,-0.0145
2024,up_4_late_7_plus,50_55,584,0.9589,0.0445,0.3408,0.399,0.3442,0.0651,2139,0.9715,-0.0126,0.0383,0.0062,0.323,0.0178,0.3806,0.0184,0.3249,0.0193,0.0827,-0.0176
2024,up_4_late_7_plus,45_50,579,0.9741,0.038,0.2988,0.3575,0.3022,0.076,2139,0.9715,0.0026,0.0383,-0.0003,0.323,-0.0242,0.3806,-0.0231,0.3249,-0.0227,0.0827,-0.0067
2025,up_5_plus_late_7_plus,60_plus,575,1.0,0.0,0.4139,0.5026,0.4122,0.0035,5064,0.9943,0.0057,0.0079,-0.0079,0.3474,0.0665,0.4017,0.1009,0.3323,0.0799,0.0166,-0.0131
2023,up_3_f5_1_5,50_55,570,0.8491,0.2579,0.4123,0.5474,0.4404,0.2491,1832,0.8264,0.0227,0.2735,-0.0156,0.4099,0.0024,0.5617,-0.0143,0.4481,-0.0077,0.2702,-0.0211
2024,up_5_plus_f5_1_5,45_50,569,0.9596,0.0756,0.3409,0.5009,0.4095,0.058,1894,0.9498,0.0098,0.0692,0.0064,0.3685,-0.0276,0.5148,-0.0139,0.4197,-0.0102,0.0533,0.0047
2025,up_4_late_7_plus,50_55,566,0.9876,0.0265,0.2809,0.3339,0.265,0.0495,1928,0.9761,0.0115,0.0311,-0.0046,0.2822,-0.0013,0.333,0.0009,0.2573,0.0077,0.0705,-0.021
2024,up_2_late_7_plus,40_45,563,0.9023,0.1492,0.3464,0.4014,0.3286,0.3286,3327,0.8744,0.0279,0.1776,-0.0284,0.3408,0.0056,0.3956,0.0058,0.3267,0.0019,0.3267,0.0019
2023,up_1_f5_1_5,40_45,559,0.6047,0.6458,0.4687,0.6154,0.5045,0.9857,3577,0.6472,-0.0425,0.5801,0.0657,0.4082,0.0605,0.5639,0.0515,0.4507,0.0538,0.9723,0.0134
2025,up_1_late_7_plus,55_60,558,0.8118,0.2688,0.2975,0.3459,0.2688,0.9642,4136,0.7962,0.0156,0.3039,-0.0351,0.3138,-0.0163,0.3656,-0.0197,0.3039,-0.0351,0.9768,-0.0126
2023,up_5_plus_f5_1_5,45_50,557,0.9605,0.0503,0.3788,0.5404,0.4075,0.0467,1901,0.9605,0.0,0.0631,-0.0128,0.3924,-0.0136,0.5692,-0.0288,0.4477,-0.0402,0.0568,-0.0101
2025,up_2_late_7_plus,40_45,557,0.8707,0.2101,0.3573,0.4201,0.3788,0.3788,3185,0.8942,-0.0235,0.1799,0.0302,0.3341,0.0232,0.3962,0.0239,0.3353,0.0435,0.3353,0.0435
2023,up_4_late_7_plus,45_50,545,0.978,0.0275,0.3193,0.3633,0.2771,0.0752,2125,0.9755,0.0025,0.0381,-0.0106,0.3233,-0.004,0.3751,-0.0118,0.2894,-0.0123,0.0776,-0.0024
2024,up_1_late_7_plus,55_60,543,0.7624,0.3352,0.3297,0.3904,0.3352,0.9797,4150,0.7598,0.0026,0.3383,-0.0031,0.3525,-0.0228,0.4051,-0.0147,0.3383,-0.0031,0.974,0.0057
2024,up_1_f5_1_5,55_60,541,0.6876,0.5471,0.3475,0.5157,0.3863,0.9741,3704,0.6547,0.0329,0.5702,-0.0231,0.4023,-0.0548,0.5664,-0.0507,0.4355,-0.0492,0.9754,-0.0013
2025,up_4_late_7_plus,45_50,540,0.9722,0.0352,0.2574,0.3148,0.2259,0.0426,1928,0.9761,-0.0039,0.0311,0.0041,0.2822,-0.0248,0.333,-0.0182,0.2573,-0.0314,0.0705,-0.0279
2023,up_2_late_7_plus,40_45,517,0.8839,0.1702,0.3308,0.3868,0.2921,0.2921,3321,0.8814,0.0025,0.174,-0.0038,0.3342,-0.0034,0.3927,-0.0059,0.3219,-0.0298,0.3219,-0.0298
2023,up_1_f5_1_5,55_60,508,0.6161,0.5689,0.3996,0.5728,0.4252,0.9665,3577,0.6472,-0.0311,0.5801,-0.0112,0.4082,-0.0086,0.5639,0.0089,0.4507,-0.0255,0.9723,-0.0058
