season,state_bucket,opponent_run_prevention_bucket,count,held_to_win_rate,gave_up_tie_or_lead_rate,opponent_scored_next_1_inning_rate,opponent_scored_next_2_innings_rate,lead_reduced_next_2_rate,lead_cut_to_1_next_2_rate,baseline_count,held_to_win_baseline_rate,held_to_win_lift,gave_up_tie_or_lead_baseline_rate,gave_up_tie_or_lead_lift,opponent_scored_next_1_inning_baseline_rate,opponent_scored_next_1_inning_lift,opponent_scored_next_2_innings_baseline_rate,opponent_scored_next_2_innings_lift,lead_reduced_next_2_baseline_rate,lead_reduced_next_2_lift,lead_cut_to_1_next_2_baseline_rate,lead_cut_to_1_next_2_lift
2024,up_2_f5_1_5,55_60,527,0.778,0.3643,0.3966,0.537,0.4288,0.4288,2806,0.7744,0.0036,0.3553,0.009,0.3813,0.0153,0.5474,-0.0104,0.4195,0.0093,0.4195,0.0093
2023,up_3_f5_1_5,50_55,521,0.8157,0.2821,0.3916,0.5451,0.4511,0.2898,1832,0.8264,-0.0107,0.2735,0.0086,0.4099,-0.0183,0.5617,-0.0166,0.4481,0.003,0.2702,0.0196
2024,up_3_early_1_3,50_55,514,0.8813,0.2412,0.3502,0.5,0.3774,0.2023,1634,0.8237,0.0576,0.2803,-0.0391,0.4002,-0.05,0.5532,-0.0532,0.4278,-0.0504,0.2301,-0.0278
2023,up_3_f5_1_5,45_50,506,0.8518,0.2055,0.3775,0.5415,0.4032,0.2213,1832,0.8264,0.0254,0.2735,-0.068,0.4099,-0.0324,0.5617,-0.0202,0.4481,-0.0449,0.2702,-0.0489
2024,up_1_middle_6,50_55,506,0.668,0.496,0.3538,0.5277,0.4209,0.9822,1608,0.658,0.01,0.51,-0.014,0.3943,-0.0405,0.5647,-0.037,0.449,-0.0281,0.9826,-0.0004
2025,up_1_f5_1_5,40_45,506,0.6917,0.5455,0.4032,0.5692,0.4605,0.9743,3632,0.6352,0.0565,0.5765,-0.031,0.4025,0.0007,0.5498,0.0194,0.4452,0.0153,0.9722,0.0021
2024,up_1_f5_1_5,40_45,502,0.6514,0.5279,0.3526,0.5159,0.3625,0.9721,3704,0.6547,-0.0033,0.5702,-0.0423,0.4023,-0.0497,0.5664,-0.0505,0.4355,-0.073,0.9754,-0.0033
2025,up_1_early_1_3,lt_40,501,0.6986,0.5629,0.3693,0.525,0.3992,0.9461,5522,0.6108,0.0878,0.648,-0.0851,0.404,-0.0347,0.5594,-0.0344,0.4591,-0.0599,0.958,-0.0119
2023,up_1_f5_1_5,40_45,498,0.6867,0.5201,0.4297,0.5863,0.4257,0.9719,3577,0.6472,0.0395,0.5801,-0.06,0.4082,0.0215,0.5639,0.0224,0.4507,-0.025,0.9723,-0.0004
2023,up_1_middle_6,50_55,498,0.6104,0.5703,0.4498,0.5944,0.4859,0.9759,1639,0.6705,-0.0601,0.5095,0.0608,0.3905,0.0593,0.5503,0.0441,0.446,0.0399,0.975,0.0009
2023,up_5_plus_f5_1_5,45_50,497,0.9215,0.1087,0.4266,0.6419,0.5131,0.0845,1901,0.9605,-0.039,0.0631,0.0456,0.3924,0.0342,0.5692,0.0727,0.4477,0.0654,0.0568,0.0277
2025,up_4_late_7_plus,50_55,496,0.9597,0.0444,0.246,0.2843,0.2319,0.0665,1928,0.9761,-0.0164,0.0311,0.0133,0.2822,-0.0362,0.333,-0.0487,0.2573,-0.0254,0.0705,-0.004
2024,up_3_late_7_plus,55_60,494,0.9494,0.0769,0.3462,0.3988,0.3785,0.1781,2744,0.953,-0.0036,0.0678,0.0091,0.3287,0.0175,0.3812,0.0176,0.32,0.0585,0.1396,0.0385
2025,up_2_early_1_3,55_60,494,0.751,0.4494,0.415,0.587,0.4413,0.4413,2763,0.7351,0.0159,0.4629,-0.0135,0.3959,0.0191,0.553,0.034,0.447,-0.0057,0.447,-0.0057
2023,up_3_early_1_3,50_55,488,0.7787,0.3504,0.4242,0.5697,0.4242,0.252,1690,0.774,0.0047,0.3657,-0.0153,0.4385,-0.0143,0.5964,-0.0267,0.458,-0.0338,0.2817,-0.0297
2023,up_2_early_1_3,55_60,481,0.7256,0.4553,0.42,0.5717,0.4511,0.4511,2917,0.7011,0.0245,0.505,-0.0497,0.432,-0.012,0.5883,-0.0166,0.4758,-0.0247,0.4758,-0.0247
2025,up_1_middle_6,50_55,477,0.6226,0.5577,0.4004,0.566,0.4759,0.9769,1601,0.6721,-0.0495,0.4859,0.0718,0.3691,0.0313,0.524,0.042,0.4204,0.0555,0.9781,-0.0012
2025,up_3_f5_1_5,45_50,476,0.8445,0.2647,0.3971,0.5357,0.4475,0.3046,1710,0.8643,-0.0198,0.2216,0.0431,0.3713,0.0258,0.5222,0.0135,0.4146,0.0329,0.2444,0.0602
2025,up_3_f5_1_5,50_55,475,0.8526,0.1916,0.3368,0.4632,0.3874,0.1937,1710,0.8643,-0.0117,0.2216,-0.03,0.3713,-0.0345,0.5222,-0.059,0.4146,-0.0272,0.2444,-0.0507
2024,up_3_f5_1_5,45_50,474,0.8439,0.2827,0.4177,0.5781,0.4747,0.2848,1931,0.8674,-0.0235,0.2258,0.0569,0.392,0.0257,0.5298,0.0483,0.4247,0.05,0.2496,0.0352
2023,up_3_early_1_3,45_50,470,0.7787,0.3447,0.434,0.6,0.4383,0.2596,1690,0.774,0.0047,0.3657,-0.021,0.4385,-0.0045,0.5964,0.0036,0.458,-0.0197,0.2817,-0.0221
2025,up_2_f5_1_5,55_60,470,0.7234,0.4191,0.417,0.5426,0.4596,0.4596,2589,0.7636,-0.0402,0.4002,0.0189,0.409,0.008,0.5577,-0.0151,0.4434,0.0162,0.4434,0.0162
2025,up_5_plus_f5_1_5,45_50,465,0.9806,0.043,0.4215,0.557,0.4387,0.0344,1789,0.9631,0.0175,0.0598,-0.0168,0.4203,0.0012,0.5696,-0.0126,0.4477,-0.009,0.0464,-0.012
2025,up_5_plus_f5_1_5,50_55,464,0.944,0.069,0.4181,0.569,0.4612,0.0733,1789,0.9631,-0.0191,0.0598,0.0092,0.4203,-0.0022,0.5696,-0.0006,0.4477,0.0135,0.0464,0.0269
2024,up_5_plus_f5_1_5,45_50,461,0.9631,0.0369,0.321,0.4729,0.3536,0.0174,1894,0.9498,0.0133,0.0692,-0.0323,0.3685,-0.0475,0.5148,-0.0419,0.4197,-0.0661,0.0533,-0.0359
2024,up_2_late_7_plus,40_45,459,0.8344,0.2244,0.366,0.451,0.3617,0.3617,3327,0.8744,-0.04,0.1776,0.0468,0.3408,0.0252,0.3956,0.0554,0.3267,0.035,0.3267,0.035
2025,up_3_early_1_3,45_50,458,0.8013,0.3341,0.4148,0.5764,0.4345,0.2817,1574,0.8113,-0.01,0.3253,0.0088,0.3952,0.0196,0.5559,0.0205,0.425,0.0095,0.2541,0.0276
2024,up_5_plus_middle_6,50_55,454,0.9802,0.033,0.3877,0.5198,0.4604,0.022,1412,0.9816,-0.0014,0.0269,0.0061,0.3817,0.006,0.5163,0.0035,0.4256,0.0348,0.0276,-0.0056
2025,up_2_late_7_plus,40_45,451,0.9424,0.1286,0.3082,0.3792,0.3237,0.3237,3185,0.8942,0.0482,0.1799,-0.0513,0.3341,-0.0259,0.3962,-0.017,0.3353,-0.0116,0.3353,-0.0116
