season,state_bucket,opponent_run_prevention_bucket,count,eventually_won_rate,tied_or_led_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,baseline_count,eventually_won_baseline_rate,eventually_won_lift,tied_or_led_later_baseline_rate,tied_or_led_later_lift,scored_next_1_inning_baseline_rate,scored_next_1_inning_lift,scored_next_2_innings_baseline_rate,scored_next_2_innings_lift,reduced_deficit_next_2_baseline_rate,reduced_deficit_next_2_lift,within_1_next_2_baseline_rate,within_1_next_2_lift
2024,down_2_early_1_3,45_50,746,0.2051,0.4088,0.3646,0.5322,0.3861,0.3861,3030,0.2554,-0.0503,0.4502,-0.0414,0.3835,-0.0189,0.5419,-0.0097,0.4145,-0.0284,0.4145,-0.0284
2024,down_2_f5_1_5,45_50,740,0.1716,0.3176,0.3905,0.5486,0.3959,0.3959,2806,0.2217,-0.0501,0.3553,-0.0377,0.3813,0.0092,0.5474,0.0012,0.4195,-0.0236,0.4195,-0.0236
2025,down_2_f5_1_5,50_55,723,0.2351,0.4122,0.4177,0.5519,0.4371,0.4371,2589,0.2364,-0.0013,0.4002,0.012,0.409,0.0087,0.5577,-0.0058,0.4434,-0.0063,0.4434,-0.0063
2024,down_3_late_7_plus,45_50,717,0.0502,0.0725,0.3194,0.3654,0.3208,0.1269,2744,0.0466,0.0036,0.0678,0.0047,0.3287,-0.0093,0.3812,-0.0158,0.32,0.0008,0.1396,-0.0127
2023,down_2_f5_1_5,45_50,707,0.2419,0.4144,0.4639,0.6351,0.5021,0.5021,2652,0.2466,-0.0047,0.4163,-0.0019,0.4427,0.0212,0.592,0.0431,0.4729,0.0292,0.4729,0.0292
2023,down_1_early_1_3,40_45,704,0.3935,0.6378,0.4375,0.5724,0.4545,0.9588,5257,0.3827,0.0108,0.6371,0.0007,0.4141,0.0234,0.5632,0.0092,0.4392,0.0153,0.9583,0.0005
2024,down_1_early_1_3,40_45,703,0.3983,0.6273,0.3798,0.5647,0.4253,0.9417,5340,0.3575,0.0408,0.6305,-0.0032,0.3964,-0.0166,0.5468,0.0179,0.4255,-0.0002,0.9541,-0.0124
2024,down_1_late_7_plus,55_60,701,0.224,0.3424,0.3552,0.398,0.3424,0.9686,4150,0.232,-0.008,0.3383,0.0041,0.3525,0.0027,0.4051,-0.0071,0.3383,0.0041,0.974,-0.0054
2025,down_2_early_1_3,45_50,688,0.2108,0.4186,0.3779,0.516,0.4244,0.4244,2763,0.2649,-0.0541,0.4629,-0.0443,0.3959,-0.018,0.553,-0.037,0.447,-0.0226,0.447,-0.0226
2025,down_2_f5_1_5,45_50,684,0.2222,0.4006,0.402,0.5614,0.4342,0.4342,2589,0.2364,-0.0142,0.4002,0.0004,0.409,-0.007,0.5577,0.0037,0.4434,-0.0092,0.4434,-0.0092
