season,state_bucket,offense_form_bucket,count,eventually_won_rate,tied_or_led_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,baseline_count,eventually_won_baseline_rate,eventually_won_lift,tied_or_led_later_baseline_rate,tied_or_led_later_lift,scored_next_1_inning_baseline_rate,scored_next_1_inning_lift,scored_next_2_innings_baseline_rate,scored_next_2_innings_lift,reduced_deficit_next_2_baseline_rate,reduced_deficit_next_2_lift,within_1_next_2_baseline_rate,within_1_next_2_lift
2023,down_3_late_7_plus,40_45,488,0.0594,0.1127,0.3607,0.4078,0.3299,0.1865,2579,0.0613,-0.0019,0.0954,0.0173,0.3373,0.0234,0.3889,0.0189,0.3075,0.0224,0.1706,0.0159
2025,down_2_late_7_plus,55_60,483,0.1077,0.1988,0.323,0.3851,0.3147,0.3147,3185,0.1058,0.0019,0.1799,0.0189,0.3341,-0.0111,0.3962,-0.0111,0.3353,-0.0206,0.3353,-0.0206
2023,down_3_f5_1_5,50_55,482,0.1846,0.3216,0.4523,0.6224,0.529,0.3112,1832,0.1736,0.011,0.2735,0.0481,0.4099,0.0424,0.5617,0.0607,0.4481,0.0809,0.2702,0.041
2025,down_1_early_1_3,60_plus,482,0.4149,0.666,0.3983,0.5456,0.4668,0.9689,5522,0.3892,0.0257,0.648,0.018,0.404,-0.0057,0.5594,-0.0138,0.4591,0.0077,0.958,0.0109
2024,down_1_middle_6,45_50,477,0.2998,0.4612,0.3585,0.5241,0.4151,0.9874,1608,0.3346,-0.0348,0.51,-0.0488,0.3943,-0.0358,0.5647,-0.0406,0.449,-0.0339,0.9826,0.0048
2025,down_1_middle_6,50_55,477,0.3816,0.5388,0.413,0.5996,0.4906,0.9832,1601,0.3279,0.0537,0.4859,0.0529,0.3691,0.0439,0.524,0.0756,0.4204,0.0702,0.9781,0.0051
2025,down_2_early_1_3,40_45,473,0.2452,0.4672,0.4144,0.5497,0.4715,0.4715,2763,0.2649,-0.0197,0.4629,0.0043,0.3959,0.0185,0.553,-0.0033,0.447,0.0245,0.447,0.0245
2024,down_3_early_1_3,45_50,468,0.1987,0.3013,0.3996,0.562,0.4444,0.2436,1634,0.1707,0.028,0.2803,0.021,0.4002,-0.0006,0.5532,0.0088,0.4278,0.0166,0.2301,0.0135
2023,down_5_plus_f5_1_5,50_55,466,0.0601,0.0987,0.412,0.5966,0.4678,0.0815,1901,0.0395,0.0206,0.0631,0.0356,0.3924,0.0196,0.5692,0.0274,0.4477,0.0201,0.0568,0.0247
2023,down_3_early_1_3,50_55,462,0.2684,0.4372,0.461,0.6061,0.4935,0.329,1690,0.226,0.0424,0.3657,0.0715,0.4385,0.0225,0.5964,0.0097,0.458,0.0355,0.2817,0.0473
2023,down_2_early_1_3,40_45,459,0.2331,0.4728,0.3943,0.573,0.4728,0.4728,2917,0.2989,-0.0658,0.505,-0.0322,0.432,-0.0377,0.5883,-0.0153,0.4758,-0.003,0.4758,-0.003
2023,down_2_f5_1_5,40_45,459,0.2004,0.3399,0.3943,0.5425,0.3965,0.3965,2652,0.2466,-0.0462,0.4163,-0.0764,0.4427,-0.0484,0.592,-0.0495,0.4729,-0.0764,0.4729,-0.0764
