model_layer,state_type,state_bucket,tier,tier_value,seasons_seen,total_count,min_season_count,eventually_won_avg_rate,eventually_won_min_rate,eventually_won_max_rate,eventually_won_range,tied_or_led_later_avg_rate,tied_or_led_later_min_rate,tied_or_led_later_max_rate,tied_or_led_later_range,scored_next_1_inning_avg_rate,scored_next_1_inning_min_rate,scored_next_1_inning_max_rate,scored_next_1_inning_range,scored_next_2_innings_avg_rate,scored_next_2_innings_min_rate,scored_next_2_innings_max_rate,scored_next_2_innings_range,reduced_deficit_next_2_avg_rate,reduced_deficit_next_2_min_rate,reduced_deficit_next_2_max_rate,reduced_deficit_next_2_range,within_1_next_2_avg_rate,within_1_next_2_min_rate,within_1_next_2_max_rate,within_1_next_2_range,held_to_win_avg_rate,held_to_win_min_rate,held_to_win_max_rate,held_to_win_range,gave_up_tie_or_lead_avg_rate,gave_up_tie_or_lead_min_rate,gave_up_tie_or_lead_max_rate,gave_up_tie_or_lead_range,opponent_scored_next_1_inning_avg_rate,opponent_scored_next_1_inning_min_rate,opponent_scored_next_1_inning_max_rate,opponent_scored_next_1_inning_range,opponent_scored_next_2_innings_avg_rate,opponent_scored_next_2_innings_min_rate,opponent_scored_next_2_innings_max_rate,opponent_scored_next_2_innings_range,lead_reduced_next_2_avg_rate,lead_reduced_next_2_min_rate,lead_reduced_next_2_max_rate,lead_reduced_next_2_range,lead_cut_to_1_next_2_avg_rate,lead_cut_to_1_next_2_min_rate,lead_cut_to_1_next_2_max_rate,lead_cut_to_1_next_2_range,primary_outcome,avg_rate,avg_lift,min_lift,max_lift
baseline,lead,up_5_plus_early_1_3,,,"2023,2024,2025",2636,822,,,,,,,,,,,,,,,,,,,,,,,,,0.9197,0.8881,0.9359,0.0478,0.1148,0.1042,0.135,0.0308,0.4081,0.3751,0.4332,0.0581,0.5792,0.5532,0.6113,0.0581,0.4554,0.4255,0.4734,0.0479,0.0501,0.0389,0.0571,0.0182,,,,,
baseline,lead,up_4_early_1_3,,,"2023,2024,2025",2436,719,,,,,,,,,,,,,,,,,,,,,,,,,0.8773,0.8589,0.8901,0.0312,0.2049,0.1918,0.2144,0.0226,0.4102,0.3873,0.4344,0.0471,0.5501,0.5268,0.57,0.0432,0.4339,0.4247,0.4431,0.0184,0.149,0.1108,0.1915,0.0807,,,,,
baseline,lead,up_4_middle_6,,,"2023,2024,2025",2062,654,,,,,,,,,,,,,,,,,,,,,,,,,0.9288,0.9254,0.9327,0.0073,0.0965,0.078,0.1077,0.0297,0.399,0.3593,0.4268,0.0675,0.5322,0.5138,0.5468,0.033,0.415,0.3761,0.4448,0.0687,0.1301,0.1147,0.1389,0.0242,,,,,
tier_modifier,comeback,down_1_early_1_3,home_away,home,"2023,2024,2025",9064,2946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scored_next_2_innings,0.6026,0.0462,0.0381,0.0574
tier_modifier,comeback,down_1_early_1_3,l10_rpg_bucket,very_high_5_5_plus,"2023,2024,2025",3119,921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.4193,0.0428,0.037,0.0518
tier_modifier,comeback,down_1_early_1_3,offense_form_bucket,60_plus,"2023,2024,2025",1304,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.4391,0.0626,0.0257,0.0848
tier_modifier,comeback,down_1_early_1_3,offense_form_bucket,60_plus,"2023,2024,2025",1304,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tied_or_led_later,0.6902,0.0517,0.018,0.1066
tier_modifier,comeback,down_1_early_1_3,opponent_run_prevention_bucket,60_plus,"2023,2024,2025",939,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tied_or_led_later,0.6796,0.0411,0.0067,0.0744
tier_modifier,comeback,down_1_early_1_3,opponent_run_prevention_bucket,lt_40,"2023,2024,2025",1135,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scored_next_2_innings,0.6185,0.0621,0.0053,0.1277
tier_modifier,comeback,down_1_early_1_3,opponent_run_prevention_bucket,lt_40,"2023,2024,2025",1135,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tied_or_led_later,0.7112,0.0726,0.0574,0.0933
