season,state_bucket,home_away,count,eventually_won_rate,tied_or_led_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,baseline_count,eventually_won_baseline_rate,eventually_won_lift,tied_or_led_later_baseline_rate,tied_or_led_later_lift,scored_next_1_inning_baseline_rate,scored_next_1_inning_lift,scored_next_2_innings_baseline_rate,scored_next_2_innings_lift,reduced_deficit_next_2_baseline_rate,reduced_deficit_next_2_lift,within_1_next_2_baseline_rate,within_1_next_2_lift
2024,down_2_f5_1_5,home,1382,0.2576,0.3828,0.437,0.5948,0.4537,0.4537,2806,0.2217,0.0359,0.3553,0.0275,0.3813,0.0557,0.5474,0.0474,0.4195,0.0342,0.4195,0.0342
2024,down_2_early_1_3,away,1352,0.199,0.3883,0.2899,0.4874,0.3609,0.3609,3030,0.2554,-0.0564,0.4502,-0.0619,0.3835,-0.0936,0.5419,-0.0545,0.4145,-0.0536,0.4145,-0.0536
2025,down_3_late_7_plus,home,1351,0.054,0.0881,0.3457,0.3967,0.3168,0.1628,2484,0.0431,0.0109,0.0761,0.012,0.318,0.0277,0.3732,0.0235,0.3019,0.0149,0.1514,0.0114
2025,down_2_f5_1_5,home,1320,0.2818,0.4477,0.4629,0.5902,0.4659,0.4659,2589,0.2364,0.0454,0.4002,0.0475,0.409,0.0539,0.5577,0.0325,0.4434,0.0225,0.4434,0.0225
2025,down_2_f5_1_5,away,1269,0.1891,0.3507,0.353,0.524,0.42,0.42,2589,0.2364,-0.0473,0.4002,-0.0495,0.409,-0.056,0.5577,-0.0337,0.4434,-0.0234,0.4434,-0.0234
2023,down_2_early_1_3,away,1246,0.2392,0.4655,0.3371,0.5064,0.4077,0.4077,2917,0.2989,-0.0597,0.505,-0.0395,0.432,-0.0949,0.5883,-0.0819,0.4758,-0.0681,0.4758,-0.0681
2023,down_2_f5_1_5,away,1215,0.2198,0.3835,0.3506,0.5235,0.4305,0.4305,2652,0.2466,-0.0268,0.4163,-0.0328,0.4427,-0.0921,0.592,-0.0685,0.4729,-0.0424,0.4729,-0.0424
2024,down_4_late_7_plus,home,1208,0.0356,0.0497,0.3493,0.3982,0.3344,0.0927,2139,0.0276,0.008,0.0383,0.0114,0.323,0.0263,0.3806,0.0176,0.3249,0.0095,0.0827,0.01
2024,down_3_late_7_plus,away,1196,0.0518,0.0778,0.2968,0.352,0.2968,0.143,2744,0.0466,0.0052,0.0678,0.01,0.3287,-0.0319,0.3812,-0.0292,0.32,-0.0232,0.1396,0.0034
2025,down_2_early_1_3,away,1177,0.2073,0.4036,0.3033,0.48,0.3772,0.3772,2763,0.2649,-0.0576,0.4629,-0.0593,0.3959,-0.0926,0.553,-0.073,0.447,-0.0698,0.447,-0.0698
