season,state_bucket,opponent_team_strength_bucket,count,eventually_won_rate,tied_or_led_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,baseline_count,eventually_won_baseline_rate,eventually_won_lift,tied_or_led_later_baseline_rate,tied_or_led_later_lift,scored_next_1_inning_baseline_rate,scored_next_1_inning_lift,scored_next_2_innings_baseline_rate,scored_next_2_innings_lift,reduced_deficit_next_2_baseline_rate,reduced_deficit_next_2_lift,within_1_next_2_baseline_rate,within_1_next_2_lift
2025,down_3_late_7_plus,45_50,618,0.0356,0.0534,0.3188,0.3657,0.2945,0.144,2484,0.0431,-0.0075,0.0761,-0.0227,0.318,0.0008,0.3732,-0.0075,0.3019,-0.0074,0.1514,-0.0074
2025,down_1_middle_6,50_55,610,0.3557,0.5148,0.3869,0.5459,0.441,0.9721,1601,0.3279,0.0278,0.4859,0.0289,0.3691,0.0178,0.524,0.0219,0.4204,0.0206,0.9781,-0.006
2025,down_1_early_1_3,40_45,609,0.4351,0.6749,0.445,0.5944,0.5041,0.9557,5522,0.3892,0.0459,0.648,0.0269,0.404,0.041,0.5594,0.035,0.4591,0.045,0.958,-0.0023
2025,down_1_f5_1_5,55_60,607,0.3163,0.5074,0.3493,0.5189,0.3937,0.9654,3632,0.3648,-0.0485,0.5765,-0.0691,0.4025,-0.0532,0.5498,-0.0309,0.4452,-0.0515,0.9722,-0.0068
2023,down_1_late_7_plus,55_60,603,0.2454,0.3798,0.4113,0.4693,0.3798,0.9751,4144,0.2266,0.0188,0.3313,0.0485,0.3448,0.0665,0.3924,0.0769,0.3313,0.0485,0.9718,0.0033
2024,down_3_f5_1_5,45_50,599,0.1269,0.197,0.4057,0.5359,0.4174,0.2254,1931,0.13,-0.0031,0.2258,-0.0288,0.392,0.0137,0.5298,0.0061,0.4247,-0.0073,0.2496,-0.0242
2025,down_3_early_1_3,50_55,586,0.1928,0.3072,0.3601,0.5392,0.3908,0.244,1574,0.1887,0.0041,0.3253,-0.0181,0.3952,-0.0351,0.5559,-0.0167,0.425,-0.0342,0.2541,-0.0101
2023,down_3_early_1_3,50_55,577,0.1976,0.3466,0.3899,0.5459,0.4281,0.279,1690,0.226,-0.0284,0.3657,-0.0191,0.4385,-0.0486,0.5964,-0.0505,0.458,-0.0299,0.2817,-0.0027
2024,down_5_plus_f5_1_5,45_50,572,0.0472,0.0734,0.4056,0.5402,0.4703,0.0629,1894,0.0491,-0.0019,0.0692,0.0042,0.3685,0.0371,0.5148,0.0254,0.4197,0.0506,0.0533,0.0096
2023,down_1_middle_6,50_55,565,0.315,0.5097,0.3858,0.5204,0.4425,0.9699,1639,0.3295,-0.0145,0.5095,0.0002,0.3905,-0.0047,0.5503,-0.0299,0.446,-0.0035,0.975,-0.0051
2024,down_1_f5_1_5,55_60,557,0.2406,0.5278,0.3698,0.5135,0.3896,0.9803,3704,0.3386,-0.098,0.5702,-0.0424,0.4023,-0.0325,0.5664,-0.0529,0.4355,-0.0459,0.9754,0.0049
2024,down_3_f5_1_5,50_55,554,0.1227,0.2347,0.3899,0.5487,0.4332,0.2473,1931,0.13,-0.0073,0.2258,0.0089,0.392,-0.0021,0.5298,0.0189,0.4247,0.0085,0.2496,-0.0023
2025,down_2_late_7_plus,55_60,554,0.0812,0.1498,0.3159,0.3863,0.3303,0.3303,3185,0.1058,-0.0246,0.1799,-0.0301,0.3341,-0.0182,0.3962,-0.0099,0.3353,-0.005,0.3353,-0.005
2023,down_1_early_1_3,40_45,549,0.4444,0.6867,0.4481,0.5847,0.4936,0.9508,5257,0.3827,0.0617,0.6371,0.0496,0.4141,0.034,0.5632,0.0215,0.4392,0.0544,0.9583,-0.0075
2024,down_2_late_7_plus,55_60,521,0.1132,0.1574,0.3071,0.3666,0.2802,0.2802,3327,0.1214,-0.0082,0.1776,-0.0202,0.3408,-0.0337,0.3956,-0.029,0.3267,-0.0465,0.3267,-0.0465
2023,down_5_plus_late_7_plus,60_plus,520,0.0096,0.0135,0.3423,0.4135,0.3135,0.0135,4855,0.0054,0.0042,0.0072,0.0063,0.3574,-0.0151,0.4122,0.0013,0.3429,-0.0294,0.0185,-0.005
2024,down_3_early_1_3,45_50,509,0.1729,0.2731,0.4067,0.5658,0.446,0.2318,1634,0.1707,0.0022,0.2803,-0.0072,0.4002,0.0065,0.5532,0.0126,0.4278,0.0182,0.2301,0.0017
