season,state_bucket,l10_rpg_bucket,count,held_to_win_rate,gave_up_tie_or_lead_rate,opponent_scored_next_1_inning_rate,opponent_scored_next_2_innings_rate,lead_reduced_next_2_rate,lead_cut_to_1_next_2_rate,baseline_count,held_to_win_baseline_rate,held_to_win_lift,gave_up_tie_or_lead_baseline_rate,gave_up_tie_or_lead_lift,opponent_scored_next_1_inning_baseline_rate,opponent_scored_next_1_inning_lift,opponent_scored_next_2_innings_baseline_rate,opponent_scored_next_2_innings_lift,lead_reduced_next_2_baseline_rate,lead_reduced_next_2_lift,lead_cut_to_1_next_2_baseline_rate,lead_cut_to_1_next_2_lift
2025,up_1_late_7_plus,low_lt_3_5,880,0.8023,0.2886,0.2989,0.3341,0.2886,0.9818,4136,0.7962,0.0061,0.3039,-0.0153,0.3138,-0.0149,0.3656,-0.0315,0.3039,-0.0153,0.9768,0.005
2023,up_1_late_7_plus,very_high_5_5_plus,866,0.7979,0.2945,0.3072,0.3337,0.2945,0.9596,4144,0.7734,0.0245,0.3313,-0.0368,0.3448,-0.0376,0.3924,-0.0587,0.3313,-0.0368,0.9718,-0.0122
2025,up_2_late_7_plus,high_4_5_5_5,860,0.9384,0.1372,0.3186,0.3849,0.3151,0.3151,3185,0.8942,0.0442,0.1799,-0.0427,0.3341,-0.0155,0.3962,-0.0113,0.3353,-0.0202,0.3353,-0.0202
2024,up_5_plus_late_7_plus,low_lt_3_5,854,0.9977,0.0141,0.3396,0.3794,0.3337,0.0422,5053,0.9927,0.005,0.0113,0.0028,0.3275,0.0121,0.3794,0.0,0.3137,0.02,0.0263,0.0159
2025,up_5_plus_late_7_plus,low_lt_3_5,854,0.9883,0.0117,0.3712,0.4157,0.3665,0.0222,5064,0.9943,-0.006,0.0079,0.0038,0.3474,0.0238,0.4017,0.014,0.3323,0.0342,0.0166,0.0056
2025,up_2_f5_1_5,mid_3_5_4_5,851,0.7591,0.3878,0.3972,0.5335,0.4277,0.4277,2589,0.7636,-0.0045,0.4002,-0.0124,0.409,-0.0118,0.5577,-0.0242,0.4434,-0.0157,0.4434,-0.0157
2023,up_2_early_1_3,mid_3_5_4_5,845,0.6923,0.4899,0.4426,0.5811,0.4757,0.4757,2917,0.7011,-0.0088,0.505,-0.0151,0.432,0.0106,0.5883,-0.0072,0.4758,-0.0001,0.4758,-0.0001
2024,up_3_late_7_plus,high_4_5_5_5,814,0.9398,0.0762,0.3256,0.3821,0.3219,0.1265,2744,0.953,-0.0132,0.0678,0.0084,0.3287,-0.0031,0.3812,0.0009,0.32,0.0019,0.1396,-0.0131
2024,up_2_f5_1_5,high_4_5_5_5,811,0.7374,0.3847,0.3637,0.5216,0.4094,0.4094,2806,0.7744,-0.037,0.3553,0.0294,0.3813,-0.0176,0.5474,-0.0258,0.4195,-0.0101,0.4195,-0.0101
2025,up_3_late_7_plus,mid_3_5_4_5,790,0.9582,0.0595,0.2962,0.3481,0.2658,0.1127,2484,0.9569,0.0013,0.0761,-0.0166,0.318,-0.0218,0.3732,-0.0251,0.3019,-0.0361,0.1514,-0.0387
