season,state_bucket,opponent_team_strength_bucket,count,held_to_win_rate,gave_up_tie_or_lead_rate,opponent_scored_next_1_inning_rate,opponent_scored_next_2_innings_rate,lead_reduced_next_2_rate,lead_cut_to_1_next_2_rate,baseline_count,held_to_win_baseline_rate,held_to_win_lift,gave_up_tie_or_lead_baseline_rate,gave_up_tie_or_lead_lift,opponent_scored_next_1_inning_baseline_rate,opponent_scored_next_1_inning_lift,opponent_scored_next_2_innings_baseline_rate,opponent_scored_next_2_innings_lift,lead_reduced_next_2_baseline_rate,lead_reduced_next_2_lift,lead_cut_to_1_next_2_baseline_rate,lead_cut_to_1_next_2_lift
2023,up_1_late_7_plus,55_60,506,0.7213,0.3775,0.3676,0.4209,0.3775,0.9704,4144,0.7734,-0.0521,0.3313,0.0462,0.3448,0.0228,0.3924,0.0285,0.3313,0.0462,0.9718,-0.0014
2024,up_3_early_1_3,45_50,504,0.7758,0.3313,0.3651,0.5278,0.4067,0.2202,1634,0.8237,-0.0479,0.2803,0.051,0.4002,-0.0351,0.5532,-0.0254,0.4278,-0.0211,0.2301,-0.0099
2024,up_3_f5_1_5,50_55,493,0.8783,0.213,0.3834,0.5254,0.3874,0.2231,1931,0.8674,0.0109,0.2258,-0.0128,0.392,-0.0086,0.5298,-0.0044,0.4247,-0.0373,0.2496,-0.0265
2023,up_4_late_7_plus,45_50,488,0.9754,0.0492,0.3033,0.332,0.2787,0.084,2125,0.9755,-0.0001,0.0381,0.0111,0.3233,-0.02,0.3751,-0.0431,0.2894,-0.0107,0.0776,0.0064
2024,up_2_late_7_plus,55_60,483,0.8778,0.1739,0.2961,0.3354,0.2754,0.2754,3327,0.8744,0.0034,0.1776,-0.0037,0.3408,-0.0447,0.3956,-0.0602,0.3267,-0.0513,0.3267,-0.0513
2025,up_2_late_7_plus,55_60,473,0.8816,0.1755,0.3192,0.3784,0.3277,0.3277,3185,0.8942,-0.0126,0.1799,-0.0044,0.3341,-0.0149,0.3962,-0.0178,0.3353,-0.0076,0.3353,-0.0076
2025,up_2_middle_6,50_55,473,0.8118,0.3488,0.3953,0.5624,0.4482,0.4482,1273,0.8272,-0.0154,0.3009,0.0479,0.392,0.0033,0.5169,0.0455,0.4171,0.0311,0.4171,0.0311
2025,up_3_f5_1_5,45_50,473,0.8436,0.2304,0.3848,0.5307,0.4228,0.2558,1710,0.8643,-0.0207,0.2216,0.0088,0.3713,0.0135,0.5222,0.0085,0.4146,0.0082,0.2444,0.0114
2025,up_1_late_7_plus,40_45,472,0.8008,0.2542,0.2669,0.322,0.2542,0.9661,4136,0.7962,0.0046,0.3039,-0.0497,0.3138,-0.0469,0.3656,-0.0436,0.3039,-0.0497,0.9768,-0.0107
2024,up_1_middle_6,50_55,469,0.6951,0.4243,0.3369,0.5181,0.3817,0.9787,1608,0.658,0.0371,0.51,-0.0857,0.3943,-0.0574,0.5647,-0.0466,0.449,-0.0673,0.9826,-0.0039
2024,up_5_plus_middle_6,45_50,466,0.9828,0.0215,0.3841,0.5386,0.4421,0.0258,1412,0.9816,0.0012,0.0269,-0.0054,0.3817,0.0024,0.5163,0.0223,0.4256,0.0165,0.0276,-0.0018
2023,up_5_plus_f5_1_5,45_50,460,0.9587,0.0609,0.3609,0.5478,0.4543,0.0478,1901,0.9605,-0.0018,0.0631,-0.0022,0.3924,-0.0315,0.5692,-0.0214,0.4477,0.0066,0.0568,-0.009
2025,up_4_late_7_plus,45_50,460,0.9804,0.0261,0.2609,0.2957,0.2196,0.0543,1928,0.9761,0.0043,0.0311,-0.005,0.2822,-0.0213,0.333,-0.0373,0.2573,-0.0377,0.0705,-0.0162
2023,up_3_f5_1_5,45_50,457,0.8468,0.2429,0.372,0.5339,0.4048,0.2495,1832,0.8264,0.0204,0.2735,-0.0306,0.4099,-0.0379,0.5617,-0.0278,0.4481,-0.0433,0.2702,-0.0207
2025,up_3_early_1_3,50_55,455,0.7978,0.3604,0.4571,0.6308,0.4967,0.3253,1574,0.8113,-0.0135,0.3253,0.0351,0.3952,0.0619,0.5559,0.0749,0.425,0.0717,0.2541,0.0712
2025,up_5_plus_f5_1_5,50_55,452,0.9712,0.0597,0.365,0.5465,0.4381,0.0597,1789,0.9631,0.0081,0.0598,-0.0001,0.4203,-0.0553,0.5696,-0.0231,0.4477,-0.0096,0.0464,0.0133
2024,up_2_early_1_3,55_60,451,0.7472,0.4989,0.3858,0.5654,0.4612,0.4612,3030,0.7429,0.0043,0.4502,0.0487,0.3835,0.0023,0.5419,0.0235,0.4145,0.0467,0.4145,0.0467
2023,up_2_middle_6,50_55,444,0.7973,0.3063,0.4032,0.5698,0.4707,0.4707,1240,0.8016,-0.0043,0.3056,0.0007,0.3903,0.0129,0.5379,0.0319,0.4323,0.0384,0.4323,0.0384
2025,up_1_early_1_3,lt_40,438,0.6758,0.5799,0.3607,0.4909,0.3858,0.9384,5522,0.6108,0.065,0.648,-0.0681,0.404,-0.0433,0.5594,-0.0685,0.4591,-0.0733,0.958,-0.0196
