season,state_bucket,l10_rpg_bucket,count,eventually_won_rate,tied_or_led_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,baseline_count,eventually_won_baseline_rate,eventually_won_lift,tied_or_led_later_baseline_rate,tied_or_led_later_lift,scored_next_1_inning_baseline_rate,scored_next_1_inning_lift,scored_next_2_innings_baseline_rate,scored_next_2_innings_lift,reduced_deficit_next_2_baseline_rate,reduced_deficit_next_2_lift,within_1_next_2_baseline_rate,within_1_next_2_lift
2025,down_4_late_7_plus,mid_3_5_4_5,640,0.0141,0.025,0.2703,0.3375,0.2672,0.0594,1928,0.0239,-0.0098,0.0311,-0.0061,0.2822,-0.0119,0.333,0.0045,0.2573,0.0099,0.0705,-0.0111
2023,down_4_late_7_plus,high_4_5_5_5,638,0.0141,0.0313,0.315,0.3621,0.279,0.0878,2125,0.0245,-0.0104,0.0381,-0.0068,0.3233,-0.0083,0.3751,-0.013,0.2894,-0.0104,0.0776,0.0102
2024,down_3_f5_1_5,mid_3_5_4_5,635,0.1244,0.2331,0.4378,0.5417,0.4331,0.2551,1931,0.13,-0.0056,0.2258,0.0073,0.392,0.0458,0.5298,0.0119,0.4247,0.0084,0.2496,0.0055
2023,down_2_early_1_3,very_high_5_5_plus,627,0.3254,0.5024,0.4434,0.5965,0.4721,0.4721,2917,0.2989,0.0265,0.505,-0.0026,0.432,0.0114,0.5883,0.0082,0.4758,-0.0037,0.4758,-0.0037
2025,down_5_plus_f5_1_5,mid_3_5_4_5,624,0.0304,0.0561,0.4615,0.5962,0.4728,0.0256,1789,0.0369,-0.0065,0.0598,-0.0037,0.4203,0.0412,0.5696,0.0266,0.4477,0.0251,0.0464,-0.0208
2025,down_2_late_7_plus,low_lt_3_5,611,0.0786,0.1277,0.3355,0.3912,0.3126,0.3126,3185,0.1058,-0.0272,0.1799,-0.0522,0.3341,0.0014,0.3962,-0.005,0.3353,-0.0227,0.3353,-0.0227
2024,down_2_early_1_3,low_lt_3_5,600,0.285,0.4917,0.4317,0.5833,0.4633,0.4633,3030,0.2554,0.0296,0.4502,0.0415,0.3835,0.0482,0.5419,0.0414,0.4145,0.0488,0.4145,0.0488
2023,down_3_f5_1_5,mid_3_5_4_5,598,0.1572,0.2642,0.4064,0.5268,0.4064,0.2308,1832,0.1736,-0.0164,0.2735,-0.0093,0.4099,-0.0035,0.5617,-0.0349,0.4481,-0.0417,0.2702,-0.0394
2023,down_3_early_1_3,mid_3_5_4_5,586,0.2201,0.3276,0.4061,0.5887,0.4198,0.2321,1690,0.226,-0.0059,0.3657,-0.0381,0.4385,-0.0324,0.5964,-0.0077,0.458,-0.0382,0.2817,-0.0496
2024,down_3_early_1_3,mid_3_5_4_5,574,0.1951,0.2857,0.4042,0.5714,0.4512,0.2387,1634,0.1707,0.0244,0.2803,0.0054,0.4002,0.004,0.5532,0.0182,0.4278,0.0234,0.2301,0.0086
2023,down_3_f5_1_5,high_4_5_5_5,569,0.1828,0.3093,0.4323,0.6046,0.5167,0.3111,1832,0.1736,0.0092,0.2735,0.0358,0.4099,0.0224,0.5617,0.0429,0.4481,0.0686,0.2702,0.0409
2025,down_3_f5_1_5,mid_3_5_4_5,568,0.0933,0.1673,0.3803,0.5158,0.3996,0.2236,1710,0.1357,-0.0424,0.2216,-0.0543,0.3713,0.009,0.5222,-0.0064,0.4146,-0.015,0.2444,-0.0208
2024,down_1_middle_6,mid_3_5_4_5,564,0.3032,0.477,0.3723,0.5301,0.4255,0.9858,1608,0.3346,-0.0314,0.51,-0.033,0.3943,-0.022,0.5647,-0.0346,0.449,-0.0235,0.9826,0.0032
2024,down_5_plus_f5_1_5,high_4_5_5_5,562,0.0391,0.0569,0.3772,0.5018,0.395,0.0587,1894,0.0491,-0.01,0.0692,-0.0123,0.3685,0.0087,0.5148,-0.013,0.4197,-0.0247,0.0533,0.0054
2023,down_5_plus_f5_1_5,high_4_5_5_5,560,0.0482,0.0804,0.4304,0.6054,0.4804,0.0768,1901,0.0395,0.0087,0.0631,0.0173,0.3924,0.038,0.5692,0.0362,0.4477,0.0327,0.0568,0.02
2024,down_2_f5_1_5,low_lt_3_5,559,0.2236,0.3542,0.3184,0.4955,0.3864,0.3864,2806,0.2217,0.0019,0.3553,-0.0011,0.3813,-0.0629,0.5474,-0.0519,0.4195,-0.0331,0.4195,-0.0331
2023,down_3_early_1_3,high_4_5_5_5,557,0.2406,0.3842,0.4434,0.5925,0.474,0.307,1690,0.226,0.0146,0.3657,0.0185,0.4385,0.0049,0.5964,-0.0039,0.458,0.016,0.2817,0.0253
2023,down_1_f5_1_5,low_lt_3_5,554,0.3321,0.6011,0.3881,0.574,0.4458,0.9747,3577,0.3528,-0.0207,0.5801,0.021,0.4082,-0.0201,0.5639,0.0101,0.4507,-0.0049,0.9723,0.0024
2025,down_4_late_7_plus,high_4_5_5_5,554,0.0289,0.0397,0.3032,0.3394,0.2708,0.0903,1928,0.0239,0.005,0.0311,0.0086,0.2822,0.021,0.333,0.0064,0.2573,0.0135,0.0705,0.0198
2023,down_2_f5_1_5,very_high_5_5_plus,541,0.3031,0.4566,0.4898,0.6414,0.5545,0.5545,2652,0.2466,0.0565,0.4163,0.0403,0.4427,0.0471,0.592,0.0494,0.4729,0.0816,0.4729,0.0816
2025,down_2_late_7_plus,very_high_5_5_plus,539,0.1707,0.2245,0.3655,0.4249,0.3655,0.3655,3185,0.1058,0.0649,0.1799,0.0446,0.3341,0.0314,0.3962,0.0287,0.3353,0.0302,0.3353,0.0302
2025,down_3_late_7_plus,low_lt_3_5,533,0.0638,0.0994,0.3039,0.3415,0.2833,0.1839,2484,0.0431,0.0207,0.0761,0.0233,0.318,-0.0141,0.3732,-0.0317,0.3019,-0.0186,0.1514,0.0325
2024,down_1_f5_1_5,very_high_5_5_plus,532,0.3553,0.5921,0.4455,0.5996,0.4492,0.9718,3704,0.3386,0.0167,0.5702,0.0219,0.4023,0.0432,0.5664,0.0332,0.4355,0.0137,0.9754,-0.0036
2025,down_2_early_1_3,low_lt_3_5,531,0.29,0.5141,0.4256,0.5725,0.4746,0.4746,2763,0.2649,0.0251,0.4629,0.0512,0.3959,0.0297,0.553,0.0195,0.447,0.0276,0.447,0.0276
2025,down_2_early_1_3,very_high_5_5_plus,530,0.3189,0.4962,0.4472,0.6057,0.4774,0.4774,2763,0.2649,0.054,0.4629,0.0333,0.3959,0.0513,0.553,0.0527,0.447,0.0304,0.447,0.0304
2024,down_5_plus_middle_6,mid_3_5_4_5,525,0.0248,0.0324,0.3752,0.5181,0.4095,0.0286,1412,0.0184,0.0064,0.0269,0.0055,0.3817,-0.0065,0.5163,0.0018,0.4256,-0.0161,0.0276,0.001
2023,down_3_late_7_plus,very_high_5_5_plus,524,0.0744,0.1145,0.3779,0.437,0.3607,0.187,2579,0.0613,0.0131,0.0954,0.0191,0.3373,0.0406,0.3889,0.0481,0.3075,0.0532,0.1706,0.0164
2023,down_1_middle_6,mid_3_5_4_5,513,0.3372,0.5556,0.4152,0.5984,0.5185,0.9825,1639,0.3295,0.0077,0.5095,0.0461,0.3905,0.0247,0.5503,0.0481,0.446,0.0725,0.975,0.0075
