candidate_id,derivative_type,game,market_ticker,baseline_source,opening_price_cents,price_delta_from_open_cents,market_mismatch_score,overall_watch_score,recommendation
,fg_total,DET@HOU,KXMLBTOTAL-26JUN152010DETHOU-7,first_discovery,73,22,88.0,69.4,cap_market_mismatch_for_first_discovery_baselines
,team_total,PIT@ATH,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,first_discovery,11,67,100.0,86.5,cap_market_mismatch_for_first_discovery_baselines
,fg_total,DET@HOU,KXMLBTOTAL-26JUN152010DETHOU-7,first_discovery,73,22,88.0,69.4,cap_market_mismatch_for_first_discovery_baselines
,team_total,PIT@ATH,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,first_discovery,11,67,100.0,86.5,cap_market_mismatch_for_first_discovery_baselines
,team_total,TB@LAD,KXMLBTEAMTOTAL-26JUN152210TBLAD-LAD6,first_discovery,42,2,8.0,58.9,cap_market_mismatch_for_first_discovery_baselines
,team_total,TB@LAD,KXMLBTEAMTOTAL-26JUN152210TBLAD-LAD6,first_discovery,42,2,8.0,58.9,cap_market_mismatch_for_first_discovery_baselines
,fg_total,DET@HOU,KXMLBTOTAL-26JUN152010DETHOU-7,first_discovery,73,22,88.0,69.4,cap_market_mismatch_for_first_discovery_baselines
,team_total,TB@LAD,KXMLBTEAMTOTAL-26JUN152210TBLAD-LAD6,first_discovery,42,2,8.0,58.9,cap_market_mismatch_for_first_discovery_baselines
,team_total,PIT@ATH,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,first_discovery,11,67,100.0,86.5,cap_market_mismatch_for_first_discovery_baselines
,team_total,TB@LAD,KXMLBTEAMTOTAL-26JUN152210TBLAD-LAD6,first_discovery,42,2,8.0,58.9,cap_market_mismatch_for_first_discovery_baselines
,team_total,TB@LAD,KXMLBTEAMTOTAL-26JUN152210TBLAD-LAD6,first_discovery,42,2,8.0,58.9,cap_market_mismatch_for_first_discovery_baselines
,team_total,TB@LAD,KXMLBTEAMTOTAL-26JUN152210TBLAD-LAD6,first_discovery,42,2,8.0,58.9,cap_market_mismatch_for_first_discovery_baselines
,fg_total,DET@HOU,KXMLBTOTAL-26JUN152010DETHOU-7,first_discovery,73,22,88.0,69.4,cap_market_mismatch_for_first_discovery_baselines
,team_total,PIT@ATH,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,first_discovery,11,67,100.0,86.5,cap_market_mismatch_for_first_discovery_baselines
,fg_total,DET@HOU,KXMLBTOTAL-26JUN152010DETHOU-7,first_discovery,73,22,88.0,69.4,cap_market_mismatch_for_first_discovery_baselines
,team_total,PIT@ATH,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,first_discovery,11,67,100.0,86.5,cap_market_mismatch_for_first_discovery_baselines
,fg_total,DET@HOU,KXMLBTOTAL-26JUN152010DETHOU-7,first_discovery,73,22,88.0,69.4,cap_market_mismatch_for_first_discovery_baselines
,fg_total,DET@HOU,KXMLBTOTAL-26JUN152010DETHOU-7,first_discovery,73,22,88.0,69.4,cap_market_mismatch_for_first_discovery_baselines
,team_total,PIT@ATH,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,first_discovery,11,67,100.0,86.5,cap_market_mismatch_for_first_discovery_baselines
,team_total,PIT@ATH,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,first_discovery,11,67,100.0,86.5,cap_market_mismatch_for_first_discovery_baselines
,fg_total,DET@HOU,KXMLBTOTAL-26JUN152010DETHOU-7,first_discovery,73,22,88.0,69.4,cap_market_mismatch_for_first_discovery_baselines
,team_total,PIT@ATH,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,first_discovery,11,67,100.0,86.5,cap_market_mismatch_for_first_discovery_baselines
