blocked_reason,runs_needed_team_bucket,count,settled_count,wins,losses,hold_win_rate,avg_hold_pnl_cents,total_hold_pnl_cents,total_risk_cents,hold_roi_on_risk,avg_delta_1m,avg_delta_3m,avg_delta_5m,avg_delta_10m,favorable_1m_rate,favorable_5m_rate,avg_mfe_10m,avg_mae_10m,avg_baseball_support_score,avg_overall_watch_score,avg_runs_needed_team,avg_runs_needed_total,avg_spread_cents
wide_spread_hard_block: spread=29c > 12c,need_3,1,1,0,1,0.0,-65.0,-65.0,65.0,-1.0,-15.0,-15.0,-15.0,-15.0,0.0,0.0,-15.0,-15.0,50.0,35.2,3.0,0.0,29.0
wide_spread_hard_block: spread=31c > 12c,need_7_plus,1,1,0,1,0.0,-38.0,-38.0,38.0,-1.0,12.0,12.0,12.0,12.0,1.0,1.0,12.0,12.0,50.0,35.2,7.0,0.0,31.0
wide_spread_hard_block: spread=31c > 12c,need_3,1,1,1,0,1.0,14.0,14.0,86.0,0.1628,-36.0,-36.0,-36.0,-36.0,0.0,0.0,,,48.0,34.6,3.0,0.0,31.0
wide_spread_hard_block: spread=41c > 12c,need_3,1,1,1,0,1.0,21.0,21.0,79.0,0.2658,-29.0,-29.0,-29.0,-29.0,0.0,0.0,,,48.0,34.6,3.0,0.0,41.0
wide_spread_hard_block: spread=23c > 12c,need_6,1,1,0,1,0.0,-30.0,-30.0,30.0,-1.0,20.0,20.0,20.0,20.0,1.0,1.0,20.0,-5.5,50.0,35.2,6.0,-1.0,23.0
wide_spread_hard_block: spread=49c > 12c,need_3,1,1,1,0,1.0,14.0,14.0,86.0,0.1628,-36.0,-36.0,-36.0,-36.0,0.0,0.0,-5.5,-36.0,48.0,34.6,3.0,-1.0,49.0
wide_spread_hard_block: spread=37c > 12c,need_7_plus,1,1,0,1,0.0,-44.0,-44.0,44.0,-1.0,6.0,6.0,6.0,6.0,1.0,1.0,6.0,-19.5,48.0,28.9,8.0,4.0,37.0
wide_spread_hard_block: spread=36c > 12c,need_4,1,1,0,1,0.0,-45.0,-45.0,45.0,-1.0,5.0,5.0,5.0,5.0,1.0,1.0,5.0,3.5,50.0,35.2,4.0,-3.0,36.0
wide_spread_hard_block: spread=37c > 12c,need_5,1,1,0,1,0.0,-73.0,-73.0,73.0,-1.0,-23.0,-23.0,-23.0,-23.0,0.0,0.0,-16.5,-23.0,48.0,30.1,5.0,1.0,37.0
wide_spread_hard_block: spread=29c > 12c,need_7_plus,1,1,0,1,0.0,-36.0,-36.0,36.0,-1.0,14.0,14.0,14.0,14.0,1.0,1.0,14.0,-19.5,50.0,35.2,7.0,0.0,29.0
wide_spread_hard_block: spread=36c > 12c,need_3,1,1,1,0,1.0,14.0,14.0,86.0,0.1628,-36.0,-36.0,-36.0,-36.0,0.0,0.0,-5.5,-36.0,48.0,34.6,3.0,-1.0,36.0
wide_spread_hard_block: spread=33c > 12c,need_6,1,1,0,1,0.0,-40.0,-40.0,40.0,-1.0,10.0,10.0,10.0,10.0,1.0,1.0,10.0,-15.5,50.0,35.2,6.0,-1.0,33.0
wide_spread_hard_block: spread=36c > 12c,need_6,1,1,0,1,0.0,-46.0,-46.0,46.0,-1.0,4.0,4.0,4.0,4.0,1.0,1.0,4.0,-2.5,48.0,34.6,6.0,2.0,36.0
