deficit_bucket,inning_bucket,team_strength_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_next_2_innings_team_runs,avg_next_2_innings_opp_runs,avg_post5_runs,avg_f5_total,avg_full_total
down_3,early_1_3,55_60,249,0.1807,0.3253,0.2329,0.3735,0.5301,0.4257,0.3092,-3.0,1.209,1.394,,,
down_4,early_1_3,45_50,246,0.1341,0.2236,0.1829,0.374,0.5325,0.435,0.0854,-4.24,1.171,1.496,,,
down_5_plus,early_1_3,50_55,235,0.0936,0.1191,0.1106,0.3404,0.4851,0.4255,0.034,-6.387,1.196,1.536,,,
down_5_plus,late_7_plus,60_plus,235,0.0,0.0,0.0,0.3149,0.3404,0.2681,0.0128,-7.247,0.719,0.774,,,
down_4,early_1_3,50_55,232,0.0948,0.1681,0.1121,0.3664,0.5259,0.4181,0.1207,-4.651,1.241,1.582,,,
down_1,middle_6,55_60,231,0.4113,0.6061,0.5065,0.4719,0.6537,0.5368,0.9784,-0.342,1.792,1.312,,,
down_4,middle_6,50_55,225,0.0756,0.1422,0.08,0.44,0.6,0.5111,0.1867,-4.227,1.396,1.351,,,
down_4,middle_6,45_50,218,0.0872,0.1239,0.1055,0.4495,0.5367,0.4679,0.133,-3.922,1.339,1.399,,,
down_5_plus,early_1_3,45_50,211,0.0616,0.1043,0.0948,0.4692,0.6398,0.4692,0.019,-6.455,1.355,1.787,,,
down_3,early_1_3,40_45,210,0.1619,0.2762,0.2048,0.5333,0.6905,0.5429,0.2238,-3.719,1.395,1.429,,,
