lead_bucket,inning_bucket,team_strength_bucket,count,held_to_win_rate,gave_up_tie_or_lead_rate,opponent_took_lead_later_rate,opponent_scored_next_1_inning_rate,opponent_scored_next_2_innings_rate,lead_reduced_next_2_rate,lead_cut_to_1_next_2_rate,avg_final_margin,avg_next_2_innings_team_runs,avg_next_2_innings_opp_runs,avg_post5_runs,avg_f5_total,avg_full_total
up_3,f5_1_5,40_45,169,0.8284,0.2722,0.2071,0.3787,0.5207,0.4142,0.2426,2.917,1.284,1.254,,,
up_3,early_1_3,40_45,163,0.7485,0.3558,0.2761,0.3926,0.5951,0.454,0.3067,2.644,1.601,1.558,,,
up_1,middle_6,lt_40,155,0.5226,0.6323,0.5032,0.4323,0.6194,0.5097,0.9871,0.006,1.026,1.626,,,
up_3,f5_1_5,60_plus,154,0.8896,0.1883,0.1169,0.4091,0.5584,0.461,0.2338,3.571,1.701,1.299,,,
up_5_plus,f5_1_5,40_45,153,0.9673,0.0784,0.0719,0.3529,0.4706,0.4183,0.0588,5.817,1.216,1.19,,,
up_3,middle_6,55_60,148,0.8851,0.1419,0.1284,0.3919,0.527,0.3649,0.2432,3.243,1.655,1.162,,,
up_4,late_7_plus,60_plus,143,1.0,0.014,0.0,0.3077,0.3497,0.2937,0.049,3.965,0.594,0.643,,,
up_4,early_1_3,55_60,136,0.9412,0.1618,0.0809,0.375,0.5956,0.4412,0.0956,4.574,1.213,1.103,,,
up_3,f5_1_5,lt_40,133,0.7895,0.3684,0.2481,0.4737,0.6015,0.5188,0.406,2.459,1.06,1.752,,,
up_1,middle_6,40_45,129,0.5349,0.5426,0.5039,0.3876,0.5349,0.4264,0.9922,0.302,0.93,1.442,,,
up_5_plus,f5_1_5,60_plus,129,1.0,0.0,0.0,0.4109,0.5814,0.4109,0.0155,6.519,1.349,1.326,,,
up_3,early_1_3,60_plus,125,0.776,0.272,0.256,0.432,0.568,0.464,0.312,3.224,1.536,1.896,,,
up_2,middle_6,40_45,119,0.7563,0.3025,0.2773,0.4454,0.6134,0.4538,0.4538,1.605,1.437,1.563,,,
up_4,late_7_plus,lt_40,116,0.9052,0.1121,0.0948,0.2931,0.3103,0.2672,0.1724,3.69,0.75,1.043,,,
up_1,middle_6,60_plus,113,0.6549,0.5044,0.3717,0.354,0.469,0.3805,0.9912,0.805,1.035,1.186,,,
up_4,middle_6,55_60,112,0.9375,0.1161,0.0625,0.4375,0.5714,0.4554,0.1518,4.232,1.527,1.402,,,
up_2,middle_6,lt_40,111,0.5766,0.5495,0.4685,0.5766,0.7117,0.6577,0.6577,0.676,1.027,1.937,,,
up_5_plus,early_1_3,55_60,110,0.8455,0.1909,0.1545,0.3636,0.5455,0.5,0.0091,6.191,1.527,1.218,,,
up_4,f5_1_5,60_plus,108,0.9444,0.1111,0.0741,0.3889,0.5278,0.4352,0.1296,4.306,1.454,1.361,,,
up_3,middle_6,40_45,107,0.8505,0.215,0.1589,0.4486,0.5794,0.4766,0.2897,2.897,1.551,1.57,,,
up_5_plus,middle_6,60_plus,106,1.0,0.0,0.0,0.434,0.5377,0.4245,0.0189,6.349,1.472,1.538,,,
up_4,f5_1_5,40_45,105,0.8095,0.2762,0.2095,0.4476,0.6476,0.619,0.219,2.771,1.429,1.771,,,
up_5_plus,middle_6,40_45,100,0.99,0.03,0.01,0.37,0.55,0.47,0.02,6.74,1.5,1.21,,,
up_3,early_1_3,lt_40,96,0.75,0.4688,0.2812,0.4896,0.6667,0.5208,0.2604,2.521,1.354,1.333,,,
up_4,early_1_3,40_45,93,0.7849,0.3333,0.2688,0.4946,0.5914,0.5161,0.1183,3.14,1.366,1.624,,,
up_5_plus,f5_1_5,lt_40,90,0.8111,0.2222,0.2,0.4667,0.5556,0.4889,0.1889,5.844,1.9,1.622,,,
up_5_plus,early_1_3,40_45,89,0.9101,0.1124,0.0899,0.3933,0.5393,0.4607,0.0449,6.067,1.618,1.562,,,
up_2,middle_6,60_plus,84,0.8452,0.2976,0.1429,0.5119,0.6548,0.5357,0.5357,2.298,1.619,1.226,,,
up_3,middle_6,lt_40,83,0.8434,0.241,0.1928,0.4578,0.5422,0.4819,0.3494,2.325,1.12,1.446,,,
up_4,middle_6,40_45,77,0.8442,0.1818,0.1558,0.3766,0.5325,0.4675,0.1429,3.74,1.351,1.351,,,
up_3,middle_6,60_plus,73,0.9589,0.1507,0.0548,0.4658,0.6301,0.5068,0.2603,3.26,1.685,1.192,,,
up_5_plus,early_1_3,lt_40,66,0.7121,0.3333,0.303,0.4242,0.697,0.5758,0.1212,3.879,1.045,1.803,,,
up_4,f5_1_5,lt_40,64,0.7969,0.2812,0.2188,0.5,0.6562,0.5938,0.2656,3.281,0.891,1.703,,,
up_4,middle_6,60_plus,58,1.0,0.0517,0.0172,0.3793,0.4828,0.4655,0.1034,4.138,1.0,1.086,,,
up_4,early_1_3,60_plus,57,0.8947,0.1754,0.1053,0.2982,0.4386,0.4211,0.193,4.333,1.263,1.035,,,
up_5_plus,middle_6,lt_40,57,0.8947,0.1053,0.1053,0.3333,0.5088,0.386,0.0526,6.825,1.86,1.193,,,
up_4,early_1_3,lt_40,49,0.6939,0.3673,0.3673,0.5102,0.6735,0.5306,0.1633,2.857,1.286,1.694,,,
up_4,middle_6,lt_40,43,0.7674,0.2326,0.186,0.6744,0.7209,0.5814,0.2558,2.953,1.302,1.767,,,
up_5_plus,early_1_3,60_plus,36,1.0,0.0,0.0,0.4167,0.5,0.3889,0.0,6.611,1.25,1.083,,,
