game_date,game_id,away_abbr,home_abbr,game_start_utc,market_ticker,market_type,selected_team_abbr,line_value,coverage_label,total_snapshots,pre_game_snapshots,latest_pre_snap,min_spread_overall,empty_book_fraction
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBF5TOTAL-26JUN211335CINNYY-6,f5_total,,6.0,stale_only,1545,452,2026-06-21T17:34:48.776864+00:00,98,1.0
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBF5TOTAL-26JUN211335CINNYY-1,f5_total,,1.0,stale_only,1545,452,2026-06-21T17:34:48.776864+00:00,98,1.0
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBF5TOTAL-26JUN211335CINNYY-3,f5_total,,3.0,stale_only,1545,452,2026-06-21T17:34:48.776864+00:00,98,1.0
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBF5-26JUN211335CINNYY-NYY,f5_winner,,,no_snapshots,0,0,,,
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBF5-26JUN211335CINNYY-TIE,f5_winner,,,no_snapshots,0,0,,,
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBF5-26JUN211335CINNYY-CIN,f5_winner,,,no_snapshots,0,0,,,
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBTOTAL-26JUN211335CINNYY-6,full_game_total,,6.0,stale_only,1545,452,2026-06-21T17:34:48.776864+00:00,98,1.0
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBTOTAL-26JUN211335CINNYY-7,full_game_total,,7.0,stale_only,1545,452,2026-06-21T17:34:48.776864+00:00,98,1.0
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBTOTAL-26JUN211335CINNYY-11,full_game_total,,11.0,stale_only,1545,452,2026-06-21T17:34:48.776864+00:00,98,1.0
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBTOTAL-26JUN211335CINNYY-13,full_game_total,,13.0,stale_only,1545,452,2026-06-21T17:34:48.776864+00:00,98,1.0
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBTOTAL-26JUN211335CINNYY-3,full_game_total,,3.0,stale_only,1545,452,2026-06-21T17:34:48.776864+00:00,98,1.0
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBTOTAL-26JUN211335CINNYY-4,full_game_total,,4.0,stale_only,1545,452,2026-06-21T17:34:48.776864+00:00,98,1.0
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBTOTAL-26JUN211335CINNYY-12,full_game_total,,12.0,stale_only,1545,452,2026-06-21T17:34:48.776864+00:00,98,1.0
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBTOTAL-26JUN211335CINNYY-10,full_game_total,,10.0,stale_only,1545,452,2026-06-21T17:34:48.776864+00:00,98,1.0
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBTOTAL-26JUN211335CINNYY-8,full_game_total,,8.0,stale_only,1545,452,2026-06-21T17:34:48.776864+00:00,98,1.0
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBTOTAL-26JUN211335CINNYY-9,full_game_total,,9.0,stale_only,1545,452,2026-06-21T17:34:48.776864+00:00,98,1.0
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBTOTAL-26JUN211335CINNYY-5,full_game_total,,5.0,stale_only,1545,452,2026-06-21T17:34:48.776864+00:00,98,1.0
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBGAME-26JUN211335CINNYY-NYY,moneyline,NYY,,stale_only,1545,452,2026-06-21T17:34:48.776864+00:00,98,1.0
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBGAME-26JUN211335CINNYY-CIN,moneyline,CIN,,stale_only,1545,452,2026-06-21T17:34:48.776864+00:00,98,1.0
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBHR-26JUN211335CINNYY-NYYAWELLS28-1,player_hr,,1.0,no_snapshots,0,0,,,
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBHR-26JUN211335CINNYY-NYYJCABALLERO72-2,player_hr,,2.0,no_snapshots,0,0,,,
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBHR-26JUN211335CINNYY-NYYJCABALLERO72-1,player_hr,,1.0,no_snapshots,0,0,,,
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBHR-26JUN211335CINNYY-CINSSTEER7-2,player_hr,,2.0,no_snapshots,0,0,,,
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBHR-26JUN211335CINNYY-CINEARROYO56-2,player_hr,,2.0,no_snapshots,0,0,,,
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBHR-26JUN211335CINNYY-NYYCBELLINGER35-2,player_hr,,2.0,no_snapshots,0,0,,,
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBHR-26JUN211335CINNYY-CINBDUNN59-1,player_hr,,1.0,no_snapshots,0,0,,,
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBHR-26JUN211335CINNYY-CINNMARTE4-1,player_hr,,1.0,no_snapshots,0,0,,,
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBHR-26JUN211335CINNYY-CINSSTEER7-1,player_hr,,1.0,no_snapshots,0,0,,,
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBHR-26JUN211335CINNYY-CINTSTEPHENSON37-1,player_hr,,1.0,no_snapshots,0,0,,,
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBHR-26JUN211335CINNYY-NYYJDOMINGUEZ24-1,player_hr,,1.0,no_snapshots,0,0,,,
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBHR-26JUN211335CINNYY-NYYCBELLINGER35-1,player_hr,,1.0,no_snapshots,0,0,,,
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBHR-26JUN211335CINNYY-CINJBLEDAY22-2,player_hr,,2.0,no_snapshots,0,0,,,
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBHR-26JUN211335CINNYY-CINESUAREZ28-1,player_hr,,1.0,no_snapshots,0,0,,,
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBHR-26JUN211335CINNYY-CINSSTEWART27-1,player_hr,,1.0,no_snapshots,0,0,,,
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBHR-26JUN211335CINNYY-CINNLOWE31-1,player_hr,,1.0,no_snapshots,0,0,,,
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBHR-26JUN211335CINNYY-NYYJCHISHOLM13-2,player_hr,,2.0,no_snapshots,0,0,,,
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBHR-26JUN211335CINNYY-CINTSTEPHENSON37-2,player_hr,,2.0,no_snapshots,0,0,,,
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBHR-26JUN211335CINNYY-NYYBRICE22-1,player_hr,,1.0,no_snapshots,0,0,,,
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBHR-26JUN211335CINNYY-CINBDUNN59-2,player_hr,,2.0,no_snapshots,0,0,,,
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBHR-26JUN211335CINNYY-NYYBRICE22-2,player_hr,,2.0,no_snapshots,0,0,,,
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBHR-26JUN211335CINNYY-NYYAVOLPE11-2,player_hr,,2.0,no_snapshots,0,0,,,
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBHR-26JUN211335CINNYY-CINNMARTE4-2,player_hr,,2.0,no_snapshots,0,0,,,
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBHR-26JUN211335CINNYY-NYYAVOLPE11-1,player_hr,,1.0,no_snapshots,0,0,,,
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBHR-26JUN211335CINNYY-NYYRMCMAHON19-2,player_hr,,2.0,no_snapshots,0,0,,,
2026-06-21,CIN@NYY,CIN,NYY,2026-06-21T17:35,KXMLBHR-26JUN211335CINNYY-CINJBLEDAY22-1,player_hr,,1.0,no_snapshots,0,0,,,
