combo,feature_value,outcome,seasons_seen,season_count,total_count,min_season_count,avg_rate,min_rate,max_rate,rate_range,avg_lift,min_lift,max_lift,stability_label,family,feature
l10_scored4_rate_bucket+opponent_l10_allowed4_rate_bucket,below_avg_30_45__below_avg_30_45,game_total_9plus,"2023,2024,2025",3,906,233,0.4489,0.4203,0.4635,0.0432,-0.0496,-0.065,-0.0235,stable_negative_lift,,
team_strength_bucket+opponent_strength_bucket,lt_40__50_55,team_f5_runs_2plus,"2023,2024,2025",3,373,106,0.5337,0.5094,0.5526,0.0432,-0.0494,-0.066,-0.0404,stable_negative_lift,,
,low_lt_30,team_won,"2023,2024,2025",3,2186,604,0.4502,0.4272,0.4667,0.0395,-0.0492,-0.0728,-0.0333,stable_negative_lift,offense_consistency,l10_scored5_rate_bucket
,deep_5_8_6_4,team_runs_4plus,"2023,2024,2025",3,2555,792,0.5089,0.4893,0.5223,0.033,-0.049,-0.0607,-0.0341,stable_negative_lift,starter_quality,opponent_starter_ip_bucket
,55_60,team_won,"2023,2024,2025",3,2220,668,0.4503,0.4386,0.4589,0.0203,-0.049,-0.0614,-0.0411,stable_negative_lift,team_quality,opponent_strength_bucket
team_strength_bucket+opponent_strength_bucket,50_55__50_55,f5_total_4plus,"2023,2024,2025",3,1782,476,0.577,0.5462,0.5955,0.0493,-0.049,-0.0749,-0.0271,stable_negative_lift,,
,excellent_lt_3_75,team_runs_5plus,"2023,2024,2025",3,2483,752,0.3827,0.3609,0.4029,0.042,-0.0489,-0.0643,-0.0324,stable_negative_lift,starter_quality,opponent_starter_xfip_bucket
home_away+l10_rpg_bucket,away__low_lt_3_5,team_early_deficit_scored_next2,"2023,2024,2025",3,1279,338,0.2759,0.2458,0.3037,0.0579,-0.0489,-0.0821,-0.0111,stable_negative_lift,,
,minus_10_or_worse,team_f5_runs_2plus,"2023,2024,2025",3,2123,651,0.5352,0.5253,0.5482,0.0229,-0.048,-0.0625,-0.0313,stable_negative_lift,team_quality,team_strength_gap_bucket
home_away+l10_rpg_bucket,away__high_4_5_5_5,team_early_deficit_scored_next2,"2023,2024,2025",3,2280,725,0.277,0.2584,0.2993,0.0409,-0.0478,-0.0732,-0.0286,stable_negative_lift,,
l10_rpg_bucket+opponent_strength_bucket,low_lt_3_5__50_55,team_runs_5plus,"2023,2024,2025",3,843,242,0.3844,0.3793,0.3936,0.0143,-0.0472,-0.0727,-0.0316,stable_negative_lift,,
,strong_18_23,team_runs_5plus,"2023,2024,2025",3,2173,673,0.3845,0.3522,0.4026,0.0504,-0.0471,-0.0644,-0.0266,stable_negative_lift,starter_quality,opponent_starter_kbb_bucket
team_strength_bucket+opponent_strength_bucket,45_50__55_60,team_runs_4plus,"2023,2024,2025",3,642,172,0.5109,0.466,0.5376,0.0716,-0.047,-0.0833,-0.0124,stable_negative_lift,,
,low_lt_30,team_runs_5plus,"2023,2024,2025",3,573,172,0.3846,0.3617,0.407,0.0453,-0.047,-0.0635,-0.0316,stable_negative_lift,opponent_vulnerability,opponent_l10_allowed4_rate_bucket
offense_form_bucket+opponent_starter_ra9_bucket,55_60__very_bad_6_plus,f5_total_4plus,"2023,2024,2025",3,316,103,0.5791,0.5631,0.5962,0.0331,-0.0469,-0.0595,-0.0249,stable_negative_lift,,
l10_rpg_bucket+opponent_starter_xfip_bucket,low_lt_3_5__excellent_lt_3_75,team_runs_5plus,"2023,2024,2025",3,427,122,0.385,0.3689,0.3976,0.0287,-0.0466,-0.084,-0.019,stable_negative_lift,,
,minus_5_to_10,team_runs_4plus,"2023,2024,2025",3,427,135,0.5115,0.4803,0.5357,0.0554,-0.0464,-0.0942,-0.0136,stable_negative_lift,starter_quality,starter_quality_gap_bucket
,excellent_lt_3_75,team_won,"2023,2024,2025",3,2483,752,0.4534,0.4428,0.4599,0.0171,-0.0459,-0.0572,-0.0401,stable_negative_lift,starter_quality,opponent_starter_xfip_bucket
,elite_23_plus,team_f5_runs_2plus,"2023,2024,2025",3,1335,420,0.5373,0.4904,0.5785,0.0881,-0.0459,-0.0891,-0.016,stable_negative_lift,starter_quality,opponent_starter_kbb_bucket
,low_lt_30,team_won,"2023,2024,2025",3,575,166,0.4538,0.419,0.4724,0.0534,-0.0456,-0.079,-0.0276,stable_negative_lift,offense_consistency,l10_scored4_rate_bucket
,strong_18_23,team_f5_runs_2plus,"2023,2024,2025",3,2173,673,0.5377,0.5097,0.561,0.0513,-0.0454,-0.0657,-0.0335,stable_negative_lift,starter_quality,opponent_starter_kbb_bucket
l10_rpg_bucket+opponent_starter_xfip_bucket,mid_3_5_4_5__good_3_75_4_25,team_won,"2023,2024,2025",3,831,249,0.4541,0.4364,0.4699,0.0335,-0.0452,-0.0636,-0.0301,stable_negative_lift,,
,low_lt_30,team_runs_5plus,"2023,2024,2025",3,2186,604,0.3865,0.3547,0.4089,0.0542,-0.0451,-0.0619,-0.0293,stable_negative_lift,offense_consistency,l10_scored5_rate_bucket
,lt_40,team_runs_4plus,"2023,2024,2025",3,776,250,0.5132,0.5,0.5317,0.0317,-0.0447,-0.05,-0.0413,stable_negative_lift,offense_consistency,offense_form_bucket
home_away+opponent_strength_bucket,away__55_60,team_f5_runs_2plus,"2023,2024,2025",3,1121,343,0.5386,0.5051,0.5567,0.0516,-0.0446,-0.0703,-0.0228,stable_negative_lift,,
l10_rpg_bucket+opponent_starter_xfip_bucket,low_lt_3_5__bad_4_75_5_25,team_won,"2023,2024,2025",3,445,109,0.4551,0.4128,0.4788,0.066,-0.0442,-0.0872,-0.0212,stable_negative_lift,,
offense_form_bucket+opponent_starter_ra9_bucket,50_55__excellent_lt_3_5,team_f5_runs_2plus,"2023,2024,2025",3,1397,418,0.539,0.5173,0.5813,0.064,-0.0441,-0.0611,-0.0132,stable_negative_lift,,
team_strength_bucket+opponent_strength_bucket,45_50__55_60,team_won,"2023,2024,2025",3,642,172,0.4552,0.4346,0.4659,0.0313,-0.0441,-0.0654,-0.0321,stable_negative_lift,,
l10_scored4_rate_bucket+opponent_l10_allowed4_rate_bucket,below_avg_30_45__avg_45_60,team_runs_4plus,"2023,2024,2025",3,698,174,0.5139,0.4947,0.5356,0.0409,-0.044,-0.063,-0.0137,stable_negative_lift,,
l10_rpg_bucket+opponent_strength_bucket,mid_3_5_4_5__55_60,team_f5_runs_2plus,"2023,2024,2025",3,743,223,0.5392,0.5157,0.5603,0.0446,-0.0439,-0.0597,-0.0342,stable_negative_lift,,
team_strength_bucket+opponent_strength_bucket,45_50__45_50,game_total_9plus,"2023,2024,2025",3,1116,264,0.4548,0.4466,0.4634,0.0168,-0.0436,-0.0603,-0.0308,stable_negative_lift,,
,minus_5_to_10,f5_total_4plus,"2023,2024,2025",3,427,135,0.5824,0.5329,0.6143,0.0814,-0.0436,-0.1013,-0.0083,stable_negative_lift,starter_quality,starter_quality_gap_bucket
,plus_5_to_10,f5_total_4plus,"2023,2024,2025",3,427,135,0.5824,0.5329,0.6143,0.0814,-0.0436,-0.1013,-0.0083,stable_negative_lift,starter_quality,starter_quality_gap_bucket
l10_rpg_bucket+opponent_strength_bucket,mid_3_5_4_5__50_55,team_runs_5plus,"2023,2024,2025",3,1643,483,0.3884,0.3756,0.4107,0.0351,-0.0432,-0.0463,-0.041,stable_negative_lift,,
l10_rpg_bucket+opponent_starter_xfip_bucket,high_4_5_5_5__good_3_75_4_25,team_runs_4plus,"2023,2024,2025",3,757,222,0.5159,0.4731,0.543,0.0699,-0.0421,-0.0769,-0.0063,stable_negative_lift,,
offense_form_bucket+opponent_starter_ra9_bucket,55_60__good_3_5_4_25,opponent_blew_early_small_lead,"2023,2024,2025",3,371,115,0.2388,0.1913,0.275,0.0837,-0.0421,-0.0784,-0.0127,stable_negative_lift,,
offense_form_bucket+opponent_starter_ra9_bucket,55_60__good_3_5_4_25,team_early_deficit_tied_or_led_later,"2023,2024,2025",3,371,115,0.2388,0.1913,0.275,0.0837,-0.0421,-0.0784,-0.0127,stable_negative_lift,,
l10_rpg_bucket+opponent_starter_xfip_bucket,high_4_5_5_5__good_3_75_4_25,team_f5_runs_2plus,"2023,2024,2025",3,757,222,0.5413,0.5195,0.5811,0.0616,-0.0418,-0.0562,-0.0134,stable_negative_lift,,
team_strength_bucket+opponent_strength_bucket,45_50__55_60,team_runs_5plus,"2023,2024,2025",3,642,172,0.3897,0.3613,0.4244,0.0631,-0.0418,-0.0553,-0.0285,stable_negative_lift,,
,good_3_75_4_25,team_f5_runs_2plus,"2023,2024,2025",3,2453,729,0.5414,0.5183,0.5583,0.04,-0.0417,-0.0571,-0.0319,stable_negative_lift,starter_quality,opponent_starter_xfip_bucket
home_away+opponent_strength_bucket,away__45_50,opponent_blew_early_small_lead,"2023,2024,2025",3,2038,604,0.2395,0.2185,0.2532,0.0347,-0.0414,-0.0668,-0.0228,stable_negative_lift,,
home_away+opponent_strength_bucket,away__45_50,team_early_deficit_tied_or_led_later,"2023,2024,2025",3,2038,604,0.2395,0.2185,0.2532,0.0347,-0.0414,-0.0668,-0.0228,stable_negative_lift,,
home_away+l10_rpg_bucket,away__low_lt_3_5,team_runs_4plus,"2023,2024,2025",3,1279,338,0.5166,0.4958,0.5355,0.0397,-0.0414,-0.0535,-0.0316,stable_negative_lift,,
home_away+opponent_strength_bucket,away__55_60,team_runs_4plus,"2023,2024,2025",3,1121,343,0.5166,0.4846,0.5394,0.0548,-0.0413,-0.0647,-0.0242,stable_negative_lift,,
