season,combo,feature_value,outcome,count,feature_rate,baseline_rate,lift
2025,home_away+l10_rpg_bucket,away__mid_3_5_4_5,team_f5_runs_2plus,809,0.5241,0.5754,-0.0513
2023,home_away+l10_rpg_bucket,away__mid_3_5_4_5,team_post5_runs_2plus,774,0.5375,0.4955,0.042
2024,home_away+l10_rpg_bucket,away__mid_3_5_4_5,team_post5_runs_2plus,893,0.4905,0.4773,0.0132
2025,home_away+l10_rpg_bucket,away__mid_3_5_4_5,team_post5_runs_2plus,809,0.4623,0.4701,-0.0078
2023,home_away+l10_rpg_bucket,away__mid_3_5_4_5,team_runs_4plus,774,0.5543,0.5745,-0.0202
2024,home_away+l10_rpg_bucket,away__mid_3_5_4_5,team_runs_4plus,893,0.5398,0.55,-0.0102
2025,home_away+l10_rpg_bucket,away__mid_3_5_4_5,team_runs_4plus,809,0.492,0.5493,-0.0573
2023,home_away+l10_rpg_bucket,away__mid_3_5_4_5,team_runs_5plus,774,0.447,0.4529,-0.0059
2024,home_away+l10_rpg_bucket,away__mid_3_5_4_5,team_runs_5plus,893,0.43,0.4252,0.0048
2025,home_away+l10_rpg_bucket,away__mid_3_5_4_5,team_runs_5plus,809,0.3721,0.4166,-0.0445
2023,home_away+l10_rpg_bucket,away__mid_3_5_4_5,team_trailed_early_1to3,774,0.4987,0.4889,0.0098
2024,home_away+l10_rpg_bucket,away__mid_3_5_4_5,team_trailed_early_1to3,893,0.449,0.4826,-0.0336
2025,home_away+l10_rpg_bucket,away__mid_3_5_4_5,team_trailed_early_1to3,809,0.4969,0.4927,0.0042
2023,home_away+l10_rpg_bucket,away__mid_3_5_4_5,team_won,774,0.4509,0.5,-0.0491
2024,home_away+l10_rpg_bucket,away__mid_3_5_4_5,team_won,893,0.4602,0.498,-0.0378
2025,home_away+l10_rpg_bucket,away__mid_3_5_4_5,team_won,809,0.4215,0.5,-0.0785
2023,home_away+l10_rpg_bucket,away__very_high_5_5_plus,f5_total_4plus,539,0.6401,0.6342,0.0059
2024,home_away+l10_rpg_bucket,away__very_high_5_5_plus,f5_total_4plus,441,0.6712,0.6211,0.0501
2025,home_away+l10_rpg_bucket,away__very_high_5_5_plus,f5_total_4plus,446,0.6233,0.6226,0.0007
2023,home_away+l10_rpg_bucket,away__very_high_5_5_plus,f5_total_5plus,539,0.5269,0.531,-0.0041
2024,home_away+l10_rpg_bucket,away__very_high_5_5_plus,f5_total_5plus,441,0.5329,0.4957,0.0372
2025,home_away+l10_rpg_bucket,away__very_high_5_5_plus,f5_total_5plus,446,0.4888,0.4925,-0.0037
2023,home_away+l10_rpg_bucket,away__very_high_5_5_plus,game_total_10plus,539,0.4416,0.4257,0.0159
2024,home_away+l10_rpg_bucket,away__very_high_5_5_plus,game_total_10plus,441,0.4376,0.3805,0.0571
2025,home_away+l10_rpg_bucket,away__very_high_5_5_plus,game_total_10plus,446,0.426,0.3911,0.0349
2023,home_away+l10_rpg_bucket,away__very_high_5_5_plus,game_total_9plus,539,0.5492,0.5237,0.0255
2024,home_away+l10_rpg_bucket,away__very_high_5_5_plus,game_total_9plus,441,0.5465,0.4863,0.0602
2025,home_away+l10_rpg_bucket,away__very_high_5_5_plus,game_total_9plus,446,0.5336,0.4853,0.0483
2023,home_away+l10_rpg_bucket,away__very_high_5_5_plus,opponent_blew_early_small_lead,539,0.2635,0.2853,-0.0218
2024,home_away+l10_rpg_bucket,away__very_high_5_5_plus,opponent_blew_early_small_lead,441,0.263,0.2697,-0.0067
2025,home_away+l10_rpg_bucket,away__very_high_5_5_plus,opponent_blew_early_small_lead,446,0.2668,0.2877,-0.0209
2023,home_away+l10_rpg_bucket,away__very_high_5_5_plus,opponent_runs_4plus,539,0.5547,0.5745,-0.0198
2024,home_away+l10_rpg_bucket,away__very_high_5_5_plus,opponent_runs_4plus,441,0.5578,0.55,0.0078
2025,home_away+l10_rpg_bucket,away__very_high_5_5_plus,opponent_runs_4plus,446,0.5717,0.5493,0.0224
2023,home_away+l10_rpg_bucket,away__very_high_5_5_plus,opponent_runs_5plus,539,0.4416,0.4529,-0.0113
2024,home_away+l10_rpg_bucket,away__very_high_5_5_plus,opponent_runs_5plus,441,0.4399,0.4252,0.0147
2025,home_away+l10_rpg_bucket,away__very_high_5_5_plus,opponent_runs_5plus,446,0.4058,0.4166,-0.0108
2023,home_away+l10_rpg_bucket,away__very_high_5_5_plus,team_early_deficit_scored_next2,539,0.2913,0.3316,-0.0403
2024,home_away+l10_rpg_bucket,away__very_high_5_5_plus,team_early_deficit_scored_next2,441,0.2676,0.3148,-0.0472
2025,home_away+l10_rpg_bucket,away__very_high_5_5_plus,team_early_deficit_scored_next2,446,0.296,0.3279,-0.0319
