combo,feature_value,outcome,seasons_seen,season_count,total_count,min_season_count,avg_rate,min_rate,max_rate,rate_range,avg_lift,min_lift,max_lift,stability_label,family,feature
home_away+opponent_strength_bucket,home__40_45,opponent_blew_early_small_lead,"2023,2024,2025",3,815,253,0.3352,0.2846,0.3696,0.085,0.0543,0.0149,0.0819,stable_positive_lift,,
home_away+opponent_strength_bucket,home__40_45,team_early_deficit_tied_or_led_later,"2023,2024,2025",3,815,253,0.3352,0.2846,0.3696,0.085,0.0543,0.0149,0.0819,stable_positive_lift,,
l10_rpg_bucket+opponent_starter_xfip_bucket,very_high_5_5_plus__very_bad_5_25_plus,team_won,"2023,2024,2025",3,637,147,0.5536,0.5374,0.5806,0.0432,0.0543,0.0394,0.0806,stable_positive_lift,,
,40_45,team_f5_runs_2plus,"2023,2024,2025",3,1583,499,0.6372,0.6252,0.6453,0.0201,0.0541,0.0307,0.0658,stable_positive_lift,team_quality,opponent_strength_bucket
home_away+opponent_strength_bucket,home__40_45,team_runs_4plus,"2023,2024,2025",3,815,253,0.6119,0.6008,0.6178,0.017,0.054,0.0433,0.0679,stable_positive_lift,,
l10_rpg_bucket+opponent_strength_bucket,high_4_5_5_5__40_45,team_runs_4plus,"2023,2024,2025",3,410,117,0.6118,0.5726,0.6575,0.0849,0.0539,0.0226,0.083,stable_positive_lift,,
,mid_3_5_4_5,f5_total_4plus,"2023,2024,2025",3,428,116,0.6795,0.6519,0.7143,0.0624,0.0536,0.0293,0.0932,stable_positive_lift,f5_post5_identity,team_l10_post5_rpg_bucket
l10_rpg_bucket+opponent_strength_bucket,mid_3_5_4_5__40_45,team_won,"2023,2024,2025",3,530,161,0.5527,0.5093,0.586,0.0767,0.0534,0.0093,0.088,stable_positive_lift,,
l10_scored4_rate_bucket+opponent_l10_allowed4_rate_bucket,very_high_75_plus__high_60_75,team_runs_5plus,"2023,2024,2025",3,799,216,0.4846,0.437,0.5093,0.0723,0.0531,0.0204,0.0841,stable_positive_lift,,
team_strength_bucket+opponent_strength_bucket,45_50__40_45,team_runs_5plus,"2023,2024,2025",3,392,118,0.4845,0.4714,0.5075,0.0361,0.0529,0.0217,0.0823,stable_positive_lift,,
